Date,AMZN,PCLN
2017-01-04,757.179993,1487.290039
2017-01-05,780.450012,1503.699951
2017-01-06,795.98999,1520.569946
2017-01-09,796.919983,1529.640015
2017-01-10,795.900024,1535.25
2017-01-11,799.02002,1536.109985
2017-01-12,813.640015,1538.589966
2017-01-13,817.140015,1545.819946
2017-01-17,809.719971,1540.130005
2017-01-18,807.47998,1541.859985
2017-01-19,809.039978,1539.02002
2017-01-20,808.330017,1545.01001
2017-01-23,817.880005,1554.98999
2017-01-24,822.440002,1563.329956
2017-01-25,836.52002,1578.819946
2017-01-26,839.150024,1581.439941
2017-01-27,835.77002,1602.920044
2017-01-30,830.380005,1602.310059
2017-01-31,823.47998,1575.130005
2017-02-01,832.349976,1575.310059
2017-02-02,839.950012,1574.089966
2017-02-03,810.200012,1583.380005
2017-02-06,807.640015,1587.180054
2017-02-07,812.5,1598.699951
2017-02-08,819.710022,1601.189941
2017-02-09,821.359985,1611.829956
2017-02-10,827.460022,1646.51001
2017-02-13,836.530029,1646.180054
2017-02-14,836.390015,1637.290039
2017-02-15,842.700012,1648.959961
2017-02-16,844.140015,1648.880005
2017-02-17,845.070007,1637.400024
2017-02-21,856.440002,1647.0
2017-02-22,855.609985,1651.73999
2017-02-23,852.190002,1637.26001
2017-02-24,845.23999,1631.619995
2017-02-27,848.640015,1632.01001
2017-02-28,845.039978,1724.130005
2017-03-01,853.080017,1733.180054
2017-03-02,848.909973,1734.369995
2017-03-03,849.880005,1735.099976
2017-03-06,846.609985,1730.209961
2017-03-07,846.02002,1736.459961
2017-03-08,850.5,1743.48999
2017-03-09,853.0,1749.420044
2017-03-10,852.460022,1754.23999
2017-03-13,854.590027,1767.119995
2017-03-14,852.530029,1769.0
2017-03-15,852.969971,1767.97998
2017-03-16,853.419983,1773.97998
2017-03-17,852.309998,1772.630005
2017-03-20,856.969971,1765.439941
2017-03-21,843.200012,1747.140015
2017-03-22,848.059998,1751.98999
2017-03-23,847.380005,1748.329956
2017-03-24,845.609985,1753.109985
2017-03-27,846.820007,1772.0
2017-03-28,856.0,1788.449951
2017-03-29,874.320007,1785.050049
2017-03-30,876.340027,1789.199951
2017-03-31,886.539978,1779.969971
2017-04-03,891.51001,1773.98999
2017-04-04,906.830017,1767.380005
2017-04-05,909.280029,1761.77002
2017-04-06,898.280029,1773.52002
2017-04-07,894.880005,1769.560059
2017-04-10,907.039978,1775.969971
2017-04-11,902.359985,1768.400024
2017-04-12,896.22998,1750.01001
2017-04-13,884.669983,1738.77002
2017-04-17,901.98999,1770.609985
2017-04-18,903.780029,1763.310059
2017-04-19,899.200012,1763.199951
2017-04-20,902.059998,1760.800049
2017-04-21,898.530029,1752.01001
2017-04-24,907.409973,1798.619995
2017-04-25,907.619995,1799.089966
2017-04-26,909.289978,1804.119995
2017-04-27,918.380005,1835.869995
2017-04-28,924.98999,1846.819946
2017-05-01,948.22998,1869.920044
2017-05-02,946.940002,1880.52002
2017-05-03,941.030029,1876.790039
2017-05-04,937.530029,1910.410034
2017-05-05,934.150024,1903.650024
2017-05-08,949.039978,1903.910034
2017-05-09,952.820007,1911.130005
2017-05-10,948.950012,1824.77002
2017-05-11,947.619995,1813.560059
2017-05-12,961.349976,1818.180054
2017-05-15,957.969971,1813.810059
2017-05-16,966.070007,1829.800049
2017-05-17,944.76001,1795.689941
2017-05-18,958.48999,1796.030029
2017-05-19,959.840027,1808.280029
2017-05-22,970.669983,1828.420044
2017-05-23,971.539978,1827.939941
2017-05-24,980.349976,1848.73999
2017-05-25,993.380005,1860.430054
2017-05-26,995.780029,1863.900024
2017-05-30,996.700012,1857.449951
2017-05-31,994.619995,1877.089966
2017-06-01,995.950012,1890.819946
2017-06-02,1006.72998,1895.959961
2017-06-05,1011.340027,1891.579956
2017-06-06,1003.0,1889.859985
2017-06-07,1010.070007,1890.369995
2017-06-08,1010.27002,1892.380005
2017-06-09,978.309998,1842.119995
2017-06-12,964.909973,1812.98999
2017-06-13,980.789978,1843.52002
2017-06-14,976.469971,1831.609985
2017-06-15,964.169983,1809.199951
2017-06-16,987.710022,1802.609985
2017-06-19,995.169983,1851.599976
2017-06-20,992.590027,1850.640015
2017-06-21,1002.22998,1867.780029
2017-06-22,1001.299988,1862.930054
2017-06-23,1003.73999,1874.280029
2017-06-26,993.97998,1876.339966
2017-06-27,976.780029,1858.25
2017-06-28,990.330017,1890.209961
2017-06-29,975.929993,1876.98999
2017-06-30,968.0,1870.52002
2017-07-03,953.659973,1843.130005
2017-07-05,971.400024,1866.01001
2017-07-06,965.140015,1872.300049
2017-07-07,978.76001,1918.5
2017-07-10,996.469971,1921.819946
2017-07-11,994.130005,1929.150024
2017-07-12,1006.51001,1946.180054
2017-07-13,1000.630005,1940.699951
2017-07-14,1001.809998,1950.869995
2017-07-17,1010.039978,1945.459961
2017-07-18,1024.449951,1976.23999
2017-07-19,1026.869995,1992.099976
2017-07-20,1028.699951,1999.219971
2017-07-21,1025.670044,1994.890015
2017-07-24,1038.949951,2002.01001
2017-07-25,1039.869995,2016.910034
2017-07-26,1052.800049,2033.209961
2017-07-27,1046.0,2025.089966
2017-07-28,1020.039978,2024.060059
2017-07-31,987.780029,2028.5
2017-08-01,996.190002,2024.589966
2017-08-02,995.890015,2021.369995
