Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2016-08-04,104.034889,760.77002,14.196526,32.429535,49.459255,27.710236,55.692776,230.610001
2016-08-05,105.616966,765.97998,14.755368,32.727489,49.136635,28.425529,56.245914,230.029999
2016-08-08,106.491547,766.559998,14.833802,32.554478,48.91666,28.533312,56.34296,226.160004
2016-08-09,106.92392,768.309998,14.892627,32.708267,49.346828,28.748878,56.478825,229.080002
2016-08-10,106.12796,768.559998,14.520066,32.890892,49.57169,28.523514,56.304142,225.649994
2016-08-11,106.059174,771.23999,14.588696,33.015839,49.384621,28.788074,56.575859,224.910004
2016-08-12,106.30484,772.559998,14.618108,32.871666,49.463387,28.582304,56.226505,225.610001
2016-08-15,107.582306,768.48999,14.725956,33.015839,49.241863,29.062433,56.40118,225.589996
2016-08-16,107.484032,764.039978,14.873019,32.833218,48.877586,29.640547,56.088711,223.610001
2016-08-17,107.32682,764.630005,14.853411,32.612152,48.848049,29.758127,56.205887,223.240005
2016-08-18,107.189247,764.460022,14.863214,32.708267,49.192635,29.9345,56.244946,223.509995
2016-08-19,107.464386,757.309998,14.922041,32.833218,48.936657,29.9345,56.264477,225.0
2016-08-22,106.62912,759.47998,14.882823,32.746712,49.148331,29.983494,56.313301,222.929993
2016-08-23,106.963219,762.450012,15.049495,33.167973,49.084335,30.101076,56.528126,224.839996
2016-08-24,106.15744,757.25,15.098516,33.032394,48.808666,30.287251,56.586712,222.619995
2016-08-25,105.705414,759.219971,15.225971,32.838715,49.07449,30.346037,56.801537,220.960007
2016-08-26,105.086334,769.0,15.480881,33.003342,48.78405,30.532211,56.664833,219.990005
2016-08-29,104.968414,771.289978,15.529902,33.206707,49.227093,30.777176,56.733185,215.199997
2016-08-30,104.162621,767.580017,15.873053,33.197021,48.946503,31.54146,56.528126,211.339996
2016-08-31,104.260887,769.159973,15.897674,32.838715,48.941578,31.414082,56.108238,212.009995
2016-09-01,104.879982,770.619995,15.740076,32.838715,49.104027,31.267101,56.23518,200.770004
2016-09-02,105.862648,772.440002,15.759776,33.109863,49.197559,31.247501,56.313301,197.779999
2016-09-06,105.833153,788.869995,15.543079,33.003342,49.53231,31.110323,56.254715,202.830002
2016-09-07,106.48172,784.47998,15.464281,33.264809,48.370544,31.051535,56.303535,201.710007
2016-09-08,103.690956,784.059998,15.621879,33.003342,47.750286,31.394482,56.078945,197.360001
2016-09-09,101.342369,760.140015,15.50368,32.025249,46.65744,30.95355,54.887646,194.470001
2016-09-12,103.612335,771.48999,15.661278,32.199562,46.805126,31.590454,55.707886,198.300003
2016-09-13,106.078827,761.01001,15.48398,31.114948,46.234093,30.826166,55.200119,196.050003
2016-09-14,109.832603,761.090027,15.395331,31.221474,46.086411,30.924154,54.93647,196.410004
2016-09-15,113.566742,769.690002,15.434731,31.444206,46.381775,31.306295,55.844593,200.419998
2016-09-16,112.928009,778.52002,15.257434,30.940632,46.076561,30.95355,55.903187,205.399994
2016-09-19,111.611237,775.099976,15.355932,31.114948,46.214394,30.963346,55.59071,206.339996
2016-09-20,111.60141,780.219971,15.365782,31.298943,46.686977,31.061333,55.473537,204.639999
2016-09-21,111.581757,789.73999,15.415032,31.686308,47.110332,31.276899,56.401176,205.220001
2016-09-22,112.633217,804.700012,15.365782,31.72504,48.045647,31.590454,56.45977,206.429993
2016-09-23,110.756317,805.75,15.286983,31.599155,47.395847,31.267101,56.078945,207.449997
2016-09-26,110.923363,799.159973,14.863439,31.424839,47.248165,30.404831,55.561417,208.990005
2016-09-27,111.129723,816.109985,15.060437,31.637882,47.208786,30.718384,56.586712,205.809998
2016-09-28,111.974823,828.719971,15.149085,32.277035,47.582912,31.129923,56.664833,206.270004
2016-09-29,110.235504,829.049988,14.932387,31.792831,46.824818,30.414631,56.049652,200.699997
2016-09-30,111.090431,837.309998,15.415032,32.034939,47.179249,31.414082,56.244946,204.029999
2016-10-03,110.569603,836.73999,15.395331,32.044617,46.273472,31.306295,56.069183,213.699997
2016-10-04,111.04129,834.030029,15.562778,31.986513,45.525219,31.394482,55.893414,211.410004
2016-10-05,111.090431,844.359985,15.868126,32.238304,45.544907,31.904005,56.284008,208.460007
2016-10-06,111.915863,841.659973,15.976472,32.189884,45.692593,31.737431,56.38166,201.0
2016-10-07,112.082916,839.429993,15.887825,31.938093,46.194702,31.659044,56.440243,196.610001
2016-10-10,114.038429,841.710022,16.055271,31.918726,46.283314,31.904005,56.674595,200.949997
2016-10-11,114.284088,831.0,15.868126,31.366735,46.243938,31.531662,55.844593,200.100006
2016-10-12,115.306061,834.090027,15.789327,31.395784,47.100487,31.267101,55.766476,201.509995
2016-10-13,114.952301,829.280029,15.592329,31.105263,47.041409,31.090727,55.58094,200.240005
2016-10-14,115.591034,822.960022,15.759776,31.066528,47.179249,31.423876,56.069183,196.509995
2016-10-17,115.512428,812.950012,15.809026,31.114948,47.533688,31.149521,55.87389,193.960007
2016-10-18,115.433815,817.650024,16.015875,31.143997,47.454922,31.66884,56.303535,199.100006
2016-10-19,115.089874,817.690002,16.222719,31.143997,47.002033,32.266552,56.176594,203.559998
2016-10-20,115.030914,810.320007,16.311367,31.056843,46.755898,32.23716,55.903187,199.100006
2016-10-21,114.57888,818.98999,16.419718,31.182737,46.775585,32.766273,58.256485,200.089996
2016-10-24,115.61068,838.090027,16.518215,31.589464,46.59837,32.707485,59.564964,202.759995
2016-10-25,116.200294,835.179993,16.468966,31.386099,47.36631,32.678085,59.555199,202.339996
2016-10-26,113.586395,822.590027,16.616714,31.30863,47.090641,32.913254,59.203667,202.240005
2016-10-27,112.495644,818.359985,16.656115,31.056843,46.992188,33.337112,58.686134,204.009995
2016-10-28,111.748817,776.320007,16.429569,29.76886,47.494305,33.041397,58.461548,199.970001
2016-10-31,111.57193,789.820007,16.252272,29.76886,47.513992,33.090683,58.510365,197.729996
2016-11-01,109.557465,785.409973,16.360619,29.807598,46.854347,32.883682,58.393192,190.789993
2016-11-02,109.655731,765.559998,16.232569,29.865702,46.519608,32.449966,58.031898,188.020004
2016-11-03,108.480354,767.030029,16.232569,29.730125,43.437988,32.341537,57.81707,187.419998
2016-11-04,107.502518,755.049988,16.301519,29.710756,43.103245,32.311962,57.328835,190.559998
2016-11-07,109.053238,784.929993,16.754612,30.514532,43.743198,33.514542,58.998608,193.210007
2016-11-08,109.695236,787.75,16.744762,30.562954,45.131401,33.613113,59.047428,194.940002
2016-11-09,109.517456,771.880005,17.700199,30.737268,44.83604,35.998562,58.754486,190.059998
2016-11-10,106.465424,742.380005,18.478338,30.882526,42.719273,37.47715,57.319069,185.350006
2016-11-11,107.097557,739.01001,18.734436,31.056843,43.034325,37.940437,57.631542,188.559998
2016-11-14,104.41098,719.070007,19.778522,30.340221,43.417892,38.788155,56.752712,181.449997
2016-11-15,105.793777,743.23999,19.857319,30.735643,44.060463,39.428875,57.873413,183.770004
2016-11-16,108.638382,746.48999,19.453474,30.813751,44.100006,38.63044,58.640213,183.929993
2016-11-17,108.598877,756.400024,19.778522,30.735643,43.922062,39.399303,59.613453,188.660004
2016-11-18,108.707527,760.159973,19.699722,30.276756,44.277946,39.852734,59.328362,185.020004
2016-11-21,110.35701,780.0,20.024765,30.667299,44.307602,39.980881,59.829727,184.520004
2016-11-22,110.426147,785.330017,19.995214,30.833279,44.347145,39.961166,60.085323,191.169998
2016-11-23,109.863159,780.119995,20.251312,30.852806,44.149433,40.454025,59.377514,193.139999
2016-11-25,110.416275,780.369995,20.54681,31.028549,44.544861,40.513168,59.50531,196.649994
2016-11-28,110.198975,766.77002,19.995214,31.204292,44.347145,39.862591,59.583958,196.119995
