,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
263,0.41,0.0380477426317,0.00112515344214,0.2,0.39,33.8156034606
264,0.09,0.0227989720014,0.00309479629029,0.66,0.25,7.36687324878
265,0.52,0.0226359705393,0.00172931929457,0.36,0.12,13.0895263879
266,0.39,0.0493488559073,0.000937449137796,0.04,0.57,52.641635602
267,0.08,0.0648062460241,0.000615457514952,0.02,0.9,105.297676037
268,0.54,0.0386023953024,0.00109541663163,0.1,0.36,35.2399207641
269,0.77,0.0229035615569,0.00141296488041,0.18,0.05,16.2095759593
270,0.28,0.0400899983456,0.00125482493817,0.26,0.46,31.9486783584
271,0.07,0.0107279098153,0.00407840088077,0.86,0.07,2.63042063027
272,0.64,0.0385795862902,0.00125625285661,0.03,0.33,30.7100486079
273,0.33,0.0313140280414,0.00167536182227,0.36,0.31,18.6909046303
274,0.13,0.0599256382968,0.000647754480173,0.06,0.81,92.5128889588
275,0.13,0.0397995983159,0.00170523354786,0.37,0.5,23.3396758853
276,0.38,0.0485071415835,0.000912761122473,0.06,0.56,53.1433037508
277,0.61,0.0178760846264,0.0018044991224,0.37,0.02,9.9063969633
278,0.12,0.055188561396,0.000774804474592,0.14,0.74,71.2290173919
279,0.12,0.0499947446268,0.00105263728613,0.22,0.66,47.4947498874
280,0.84,0.0255494263426,0.001457073976,0.09,0.07,17.5347489307
281,0.33,0.0442985699646,0.000965159870343,0.16,0.51,45.897650043
282,0.1,0.0502589972677,0.00108891198598,0.23,0.67,46.1552429533
283,0.44,0.0269391165837,0.00166180425557,0.35,0.21,16.2107639895
284,0.78,0.0211483674961,0.00145125999562,0.2,0.02,14.5724181469
285,0.33,0.0332617093299,0.00154918884843,0.33,0.34,21.4704032783
286,0.57,0.0346352673122,0.00115520873008,0.14,0.29,29.98182615
287,0.64,0.0184535463093,0.00171001010151,0.34,0.02,10.7914838006
288,0.55,0.0394441096262,0.00110639021926,0.08,0.37,35.6511734643
289,0.53,0.0221792306708,0.00173315029342,0.36,0.11,12.7970613714
290,0.32,0.0161893176021,0.0027678975655,0.6,0.08,5.84895835884
291,0.24,0.0432154120121,0.00116484069788,0.24,0.52,37.0998472929
292,0.34,0.0289096068844,0.00180641525522,0.39,0.27,16.0038544852
293,0.59,0.0265802895173,0.00139269778426,0.25,0.16,19.0854683749
294,0.24,0.0477600016852,0.000928865570696,0.17,0.59,51.4175605082
295,0.69,0.0369451140437,0.00133364734935,0.02,0.29,27.7023113057
296,0.57,0.0346352673122,0.00115520873008,0.14,0.29,29.98182615
297,0.61,0.032808307838,0.0011979180692,0.14,0.25,27.3877727379
298,0.37,0.0301362956634,0.00164192437301,0.35,0.28,18.3542531915
299,0.32,0.0486506724101,0.000857710541676,0.1,0.58,56.7215512065
300,0.08,0.0310464370238,0.00251582495411,0.54,0.38,12.3404599247
301,0.53,0.0319176371132,0.00124199512037,0.21,0.26,25.6986815726
302,0.18,0.0362174447809,0.00179558997822,0.39,0.43,20.170219939
303,0.04,0.0133965836132,0.00398943009866,0.84,0.12,3.3580193867
304,0.92,0.0257908699713,0.0016144034392,0.03,0.05,15.9754800722
305,0.68,0.0276634474698,0.00130593799317,0.17,0.15,21.182818491
306,0.01,0.0543696560845,0.00108065114232,0.23,0.76,50.3119406024
307,0.43,0.0377834899908,0.00111416694742,0.19,0.38,33.9118747672
308,0.44,0.0243422081991,0.00182599367386,0.39,0.17,13.33093786
309,0.47,0.0190766260165,0.0020884228555,0.45,0.08,9.1344652575
310,0.14,0.0471335836012,0.00117784907704,0.25,0.61,40.0166579232
311,0.13,0.0378519170274,0.00184383557884,0.4,0.47,20.5289004409
312,0.1,0.0567512682293,0.000736490230059,0.13,0.77,77.0563761922
313,0.27,0.056128188522,0.000819343822409,0.02,0.71,68.5038282914
314,0.44,0.0405728856031,0.00102353067421,0.14,0.42,39.640126696
315,0.16,0.0481677851527,0.00106299963507,0.22,0.62,45.313077788
316,0.73,0.0357673816657,0.0014004766896,0.01,0.26,25.5394337738
317,0.01,0.0374897515843,0.00229041965489,0.49,0.5,16.3680710233
318,0.28,0.0180162770763,0.0027716630805,0.6,0.12,6.50016851002
319,0.19,0.0273207526623,0.00240203729041,0.52,0.29,11.3739918907
320,0.27,0.0308083317718,0.00188821066243,0.41,0.32,16.3161517858
321,0.5,0.0157587251225,0.00222425977873,0.48,0.02,7.08493012966
322,0.13,0.0547318215275,0.000780209122649,0.14,0.73,70.1501942732
323,0.12,0.0460993820498,0.00130216557092,0.28,0.6,35.4020894727
324,0.36,0.0383837606859,0.00118368810795,0.23,0.41,32.4272588599
325,0.01,0.00567762387255,0.00468820628903,0.98,0.01,1.2110439521
326,0.6,0.039108091572,0.00118398483468,0.05,0.35,33.0309058244
327,0.24,0.047110774589,0.000958436421163,0.18,0.58,49.1537816686
328,0.81,0.0217258291789,0.00144487912769,0.17,0.02,15.0364336799
329,0.61,0.0354052162227,0.00117650247673,0.1,0.29,30.0936180951
330,0.06,0.0378029606263,0.00208823013463,0.45,0.49,18.1028709429
331,0.23,0.0241953389959,0.00249236847537,0.54,0.23,9.70776963158
332,0.2,0.0593253676017,0.000740570775262,0.02,0.78,80.1076272294
333,0.26,0.0371081155058,0.00149235948172,0.32,0.42,24.8654000329
334,0.07,0.0366969936616,0.00213414287734,0.46,0.47,17.1951906554
335,0.44,0.0152530288529,0.00244109679482,0.53,0.03,6.24843262473
336,0.38,0.021888830641,0.00216557252759,0.47,0.15,10.1076414492
337,0.39,0.044155039138,0.000948227217967,0.12,0.49,46.5658845278
338,0.29,0.0558639358811,0.000857207170895,0.01,0.7,65.1697020019
339,0.12,0.0194810711073,0.00323339837742,0.69,0.19,6.02495233603
340,0.24,0.0380215952428,0.0014889330958,0.32,0.44,25.5361341286
341,0.08,0.0232557118699,0.00309730644932,0.66,0.26,7.50836646308
342,0.52,0.0200390621547,0.00188919241195,0.4,0.08,10.6072107997
343,0.35,0.0187144605735,0.00248519096551,0.54,0.11,7.53039135953
344,0.03,0.0209948215395,0.00345296349461,0.73,0.24,6.08023269641
345,0.26,0.0254220277749,0.00230192607374,0.5,0.24,11.0438072121
346,0.69,0.0304528430821,0.00127472446278,0.12,0.19,23.8897455656
347,0.45,0.0355715560614,0.00118091425873,0.21,0.34,30.1220480645
348,0.25,0.0466540347205,0.000964151572648,0.18,0.57,48.3886932761
349,0.43,0.0403803983754,0.001029988796,0.15,0.42,39.2046967231
350,0.3,0.0476164708586,0.000879260694114,0.13,0.57,54.1551227951
351,0.05,0.00839525407154,0.00433031772896,0.91,0.04,1.93871549319
