Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2016-09-26,112.879997,799.159973,15.09,32.450001,47.990002,31.030001,208.990005
2016-09-27,113.089996,816.109985,15.29,32.669998,47.950001,31.35,205.809998
2016-09-28,113.949997,828.719971,15.38,33.330002,48.330002,31.77,206.270004
2016-09-29,112.18,829.049988,15.16,32.830002,47.560001,31.040001,200.699997
2016-09-30,113.050003,837.309998,15.65,33.080002,47.919998,32.060001,204.029999
2016-10-03,112.519997,836.73999,15.63,33.09,47.0,31.950001,213.699997
2016-10-04,113.0,834.030029,15.8,33.029999,46.240002,32.040001,211.410004
2016-10-05,113.050003,844.359985,16.110001,33.290001,46.259998,32.560001,208.460007
2016-10-06,113.889999,841.659973,16.219999,33.240002,46.41,32.389999,201.0
2016-10-07,114.059998,839.429993,16.129999,32.98,46.919998,32.310001,196.610001
2016-10-10,116.050003,841.710022,16.299999,32.959999,47.009998,32.560001,200.949997
2016-10-11,116.300003,831.0,16.110001,32.389999,46.970001,32.18,200.100006
2016-10-12,117.339996,834.090027,16.030001,32.419998,47.84,31.91,201.509995
2016-10-13,116.980003,829.280029,15.83,32.119999,47.779999,31.73,200.240005
2016-10-14,117.629997,822.960022,16.0,32.080002,47.919998,32.07,196.509995
2016-10-17,117.550003,812.950012,16.049999,32.130001,48.279999,31.790001,193.960007
2016-10-18,117.470001,817.650024,16.26,32.16,48.200001,32.32,199.100006
2016-10-19,117.120003,817.690002,16.469999,32.16,47.740002,32.93,203.559998
2016-10-20,117.059998,810.320007,16.559999,32.07,47.490002,32.900002,199.100006
2016-10-21,116.599998,818.98999,16.67,32.200001,47.509998,33.439999,200.089996
2016-10-24,117.650002,838.090027,16.77,32.619999,47.330002,33.380001,202.759995
2016-10-25,118.25,835.179993,16.719999,32.41,48.110001,33.349998,202.339996
2016-10-26,115.589996,822.590027,16.870001,32.330002,47.830002,33.59,202.240005
2016-10-27,114.480003,818.359985,16.91,32.07,47.73,33.82,204.009995
2016-10-28,113.720001,776.320007,16.68,30.74,48.240002,33.52,199.970001
2016-10-31,113.540001,789.820007,16.5,30.74,48.259998,33.57,197.729996
2016-11-01,111.489998,785.409973,16.610001,30.780001,47.59,33.360001,190.789993
2016-11-02,111.589996,765.559998,16.48,30.84,47.25,32.919998,188.020004
2016-11-03,109.830002,767.030029,16.48,30.700001,44.119999,32.810001,187.419998
2016-11-04,108.839996,755.049988,16.549999,30.68,43.779999,32.779999,190.559998
2016-11-07,110.410004,784.929993,17.01,31.51,44.43,34.0,193.210007
2016-11-08,111.059998,787.75,17.0,31.559999,45.84,34.099998,194.940002
2016-11-09,110.879997,771.880005,17.969999,31.74,45.540001,36.52,190.059998
2016-11-10,107.790001,742.380005,18.76,31.889999,43.389999,38.02,185.350006
2016-11-11,108.43,739.01001,19.02,32.07,43.709999,38.490002,188.559998
2016-11-14,105.709999,719.070007,20.08,31.33,43.919998,39.349998,181.449997
2016-11-15,107.110001,743.23999,20.16,31.48,44.57,40.0,183.770004
2016-11-16,109.989998,746.48999,19.75,31.559999,44.610001,39.189999,183.929993
2016-11-17,109.949997,756.400024,20.08,31.48,44.43,39.970001,188.660004
2016-11-18,110.059998,760.159973,20.0,31.01,44.790001,40.43,185.020004
2016-11-21,111.730003,780.0,20.33,31.41,44.82,40.560001,184.520004
2016-11-22,111.800003,785.330017,20.299999,31.58,44.860001,40.540001,191.169998
2016-11-23,111.230003,780.119995,20.559999,31.6,44.66,41.040001,193.139999
2016-11-25,111.790001,780.369995,20.860001,31.780001,45.060001,41.099998,196.649994
2016-11-28,111.57,766.77002,20.299999,31.959999,44.860001,40.439999,196.119995
2016-11-29,111.459999,762.52002,20.290001,32.48,44.84,40.599998,189.570007
2016-11-30,110.519997,750.570007,21.120001,31.959999,43.790001,41.360001,189.399994
2016-12-01,109.489998,743.650024,21.5,30.41,42.77,42.16,181.880005
2016-12-02,109.900002,740.340027,21.23,31.049999,43.41,41.830002,181.470001
2016-12-05,109.110001,759.359985,21.84,31.370001,44.16,42.09,186.800003
2016-12-06,109.949997,764.719971,22.16,31.07,44.75,42.509998,185.850006
2016-12-07,111.029999,770.419983,22.57,31.75,44.880001,42.639999,193.149994
2016-12-08,112.120003,767.330017,22.950001,31.780001,43.790001,43.580002,192.289993
2016-12-09,113.949997,768.659973,23.09,31.68,44.32,43.73,192.179993
2016-12-12,113.300003,760.119995,22.610001,31.82,44.470001,42.98,192.429993
2016-12-13,115.190002,774.340027,22.610001,32.73,44.330002,42.560001,198.149994
2016-12-14,115.190002,768.820007,22.67,32.369999,44.75,42.860001,198.690002
2016-12-15,115.82,761.0,23.16,32.740002,44.849998,43.009998,197.580002
2016-12-16,115.970001,757.77002,22.66,32.02,44.959999,42.709999,202.490005
2016-12-19,116.639999,766.0,22.48,32.720001,44.630001,42.830002,202.729996
2016-12-20,116.949997,771.219971,22.709999,32.880001,44.740002,43.5,208.789993
2016-12-21,117.059998,770.599976,22.629999,32.43,44.57,43.369999,207.699997
2016-12-22,116.290001,766.340027,22.540001,32.16,44.509998,42.790001,208.449997
2016-12-23,116.519997,760.590027,22.6,32.049999,44.720001,43.060001,213.339996
2016-12-27,117.260002,771.400024,22.610001,32.23,45.029999,43.119999,219.529999
2016-12-28,116.760002,772.130005,22.33,31.969999,44.150002,42.619999,219.740005
2016-12-29,116.730003,765.150024,22.0,32.139999,44.82,42.150002,214.679993
2016-12-30,115.82,749.869995,22.1,31.77,44.189999,42.25,213.690002
2017-01-03,116.150002,753.669983,22.530001,32.290001,44.34,43.049999,216.990005
2017-01-04,116.019997,757.179993,22.950001,32.810001,44.700001,43.619999,226.990005
