Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2015-07-24,124.5,529.419983,17.9,29.08,42.244999,39.599998,45.939999,265.410004
2015-07-27,122.769997,531.409973,17.67,28.75,42.310001,39.25,45.349998,253.009995
2015-07-28,123.379997,526.030029,17.879999,29.139999,42.755001,39.25,45.34,264.820007
2015-07-29,122.989998,529.0,18.16,29.290001,43.16,39.290001,46.290001,263.820007
2015-07-30,122.370003,536.76001,18.129999,29.42,43.389999,39.299999,46.880001,266.790009
2015-07-31,121.300003,536.150024,17.879999,29.139999,43.165001,38.84,46.700001,266.149994
2015-08-03,118.440002,535.030029,17.77,28.92,43.695,38.759998,46.810001,259.98999
2015-08-04,114.639999,531.900024,17.799999,29.030001,44.005001,38.919998,47.540001,266.279999
2015-08-05,115.400002,537.01001,17.870001,29.200001,44.744999,39.0,47.580002,270.130005
2015-08-06,115.129997,529.460022,17.809999,28.92,44.674999,38.93,46.619999,246.130005
2015-08-07,115.519997,522.619995,17.75,29.08,44.52,38.580002,46.740002,242.509995
2015-08-10,119.720001,524.0,18.040001,29.469999,44.59,39.080002,47.330002,241.139999
2015-08-11,113.489998,527.460022,17.790001,29.41,44.215,37.919998,46.41,237.369995
2015-08-12,115.239998,525.909973,17.52,29.459999,44.544998,37.57,46.740002,238.169998
2015-08-13,115.150002,529.659973,17.620001,29.23,44.630001,37.75,46.73,242.509995
2015-08-14,115.959999,531.52002,17.700001,29.379999,44.825001,38.049999,47.0,243.149994
2015-08-17,117.160004,535.219971,17.77,29.639999,45.16,38.139999,47.32,254.990005
2015-08-18,116.5,535.02002,17.690001,29.530001,45.285,37.82,47.27,260.720001
2015-08-19,115.010002,532.919983,17.459999,29.299999,44.875,37.439999,46.610001,255.25
2015-08-20,112.650002,515.780029,16.719999,28.299999,44.325001,36.169998,45.66,242.179993
2015-08-21,105.760002,494.470001,16.1,27.33,43.349998,34.209999,43.07,230.770004
2015-08-24,103.120003,463.369995,15.29,26.469999,42.490002,32.259998,41.68,218.869995
2015-08-25,103.739998,466.369995,15.26,25.57,41.474998,31.76,40.470001,220.029999
2015-08-26,109.690002,500.769989,16.059999,26.610001,42.494999,33.299999,42.709999,224.839996
2015-08-27,112.919998,518.369995,16.440001,27.129999,43.27,34.299999,43.900002,242.990005
2015-08-28,113.290001,518.01001,16.360001,27.26,43.424999,34.049999,43.93,248.479996
2015-08-31,112.760002,512.890015,16.34,27.290001,43.139999,34.450001,43.52,249.059998
2015-09-01,107.720001,496.540009,15.58,26.52,41.959999,33.119999,41.82,238.630005
2015-09-02,112.339996,510.549988,15.85,27.200001,42.424999,33.790001,43.360001,247.690002
2015-09-03,110.370003,504.720001,15.94,27.459999,43.014999,33.799999,43.5,245.570007
2015-09-04,109.269997,499.0,15.65,27.07,42.465,33.189999,42.610001,241.929993
2015-09-08,112.309998,517.539978,16.16,28.08,43.255001,34.27,43.889999,248.169998
2015-09-09,110.150002,516.890015,15.9,27.389999,42.615002,33.75,43.07,248.910004
2015-09-10,112.57,522.23999,16.040001,27.52,42.494999,33.869999,43.290001,248.479996
2015-09-11,114.209999,529.440002,16.040001,27.719999,42.044998,33.990002,43.48,250.240005
2015-09-14,115.309998,521.380005,15.96,27.74,41.715,33.810001,43.040001,253.190002
2015-09-15,116.279999,522.369995,16.309999,28.110001,42.119999,34.580002,43.98,253.570007
2015-09-16,116.410004,527.390015,16.33,28.219999,42.235001,34.619999,44.299999,262.25
2015-09-17,113.919998,538.869995,15.86,27.950001,42.419998,34.049999,44.25,262.070007
2015-09-18,113.449997,540.26001,15.56,27.57,41.945,33.029999,43.48,260.619995
2015-09-21,115.209999,548.390015,15.7,27.75,42.400002,33.34,44.110001,264.200012
2015-09-22,113.400002,538.400024,15.57,27.34,41.994999,32.439999,43.900002,260.940002
2015-09-23,114.32,536.070007,15.72,27.33,42.049999,32.32,43.869999,261.059998
2015-09-24,115.0,533.75,15.55,27.51,42.384998,31.969999,43.91,263.119995
2015-09-25,114.709999,524.25,15.89,27.360001,42.814999,32.189999,43.939999,256.910004
2015-09-28,112.440002,504.059998,15.47,26.73,42.220001,31.09,43.290001,248.429993
2015-09-29,109.059998,496.070007,15.35,26.83,42.264999,31.01,43.439999,246.649994
2015-09-30,110.300003,511.890015,15.58,27.299999,41.950001,31.5,44.259998,248.399994
2015-10-01,109.580002,520.719971,15.55,27.379999,41.900002,31.5,44.610001,239.880005
2015-10-02,110.379997,532.539978,15.38,27.68,42.564999,31.43,45.57,247.570007
2015-10-05,110.779999,543.679993,15.69,28.34,43.195,32.290001,46.630001,246.149994
2015-10-06,111.309998,537.47998,15.69,28.450001,42.779999,32.360001,46.75,241.460007
2015-10-07,110.779999,541.940002,15.75,28.629999,43.25,32.93,46.799999,231.960007
2015-10-08,109.5,533.159973,15.75,28.780001,43.525002,32.990002,47.450001,226.720001
2015-10-09,112.120003,539.799988,15.58,29.0,43.810001,32.720001,47.110001,220.690002
2015-10-12,111.599998,550.190002,15.52,28.92,44.150002,32.799999,47.0,215.580002
2015-10-13,111.790001,548.900024,15.52,28.690001,43.965,32.610001,46.889999,219.25
2015-10-14,110.209999,544.830017,15.64,28.639999,43.48,32.540001,46.68,216.880005
2015-10-15,111.860001,562.440002,16.190001,28.889999,43.759998,33.610001,47.009998,221.309998
