,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM,portfolioreturn,portfoliostandarddeviation,returnoverrisk
490,0.02,0.07,0.01,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.05,0.08,0.03,0.01,0.06,0.02,0.1,0.01,0.03,0.01,0.07,0.03,0.08,0.09,0.06,0.0804358422314,0.00600872756027,13.3865017884
491,0.04,0.01,0.01,0.01,0.01,0.04,0.07,0.06,0.01,0.05,0.01,0.08,0.03,0.06,0.01,0.02,0.02,0.06,0.01,0.05,0.02,0.07,0.02,0.04,0.19,0.132498471535,0.00517667996691,25.5952603564
492,0.03,0.08,0.03,0.03,0.1,0.01,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.14,0.04,0.01,0.09,0.06,0.01,0.02,0.06,0.01,0.04,0.05,0.08,0.127914246671,0.00642886289788,19.8968695869
493,0.08,0.01,0.09,0.05,0.01,0.03,0.05,0.02,0.02,0.01,0.03,0.02,0.03,0.05,0.05,0.12,0.03,0.01,0.02,0.02,0.07,0.02,0.05,0.06,0.05,0.153366926795,0.00615813364564,24.9047740143
494,0.08,0.04,0.04,0.06,0.02,0.09,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0.02,0.1,0.02,0.04,0.02,0.04,0.04,0.12,0.04,0.02,0.06,0.02,0.140148284657,0.00543226713676,25.7992254669
495,0.01,0.04,0.01,0.02,0.01,0.06,0.03,0.08,0.09,0.06,0.02,0.02,0.01,0.13,0.09,0.02,0.03,0.08,0.01,0.03,0.04,0.06,0.01,0.02,0.02,0.136787052279,0.00581504508837,23.5229564346
496,0.06,0.12,0.09,0.03,0.03,0.04,0.02,0.01,0.14,0.04,0.08,0.01,0.04,0.04,0.01,0.02,0.01,0.03,0.08,0.01,0.02,0.01,0.01,0.03,0.02,0.164825133532,0.00629240261561,26.1943082159
497,0.11,0.11,0.05,0.04,0.02,0.01,0.01,0.03,0.03,0.03,0.02,0.06,0.05,0.02,0.03,0.01,0.02,0.1,0.06,0.02,0.01,0.02,0.02,0.08,0.04,0.199467607311,0.00557939682622,35.7507475313
498,0.09,0.01,0.02,0.17,0.01,0.05,0.01,0.25,0.01,0.03,0.02,0.03,0.01,0.06,0.01,0.01,0.01,0.01,0.05,0.01,0.03,0.03,0.03,0.02,0.02,0.233650654771,0.00736323480439,31.7320662695
499,0.01,0.09,0.03,0.02,0.07,0.01,0.07,0.02,0.04,0.04,0.06,0.02,0.04,0.01,0.01,0.03,0.12,0.04,0.01,0.01,0.02,0.01,0.01,0.16,0.05,0.0682671436987,0.00696176949961,9.80600459444
500,0.02,0.1,0.01,0.02,0.06,0.02,0.01,0.02,0.1,0.09,0.06,0.01,0.03,0.01,0.03,0.13,0.02,0.01,0.05,0.03,0.02,0.01,0.04,0.04,0.06,0.0918698387996,0.00669295088864,13.7263578245
501,0.02,0.05,0.01,0.1,0.05,0.01,0.15,0.01,0.05,0.03,0.03,0.01,0.01,0.01,0.04,0.01,0.02,0.07,0.01,0.13,0.01,0.08,0.02,0.06,0.01,0.0827530605242,0.00503249187121,16.4437544346
502,0.04,0.02,0.01,0.03,0.02,0.01,0.08,0.04,0.07,0.01,0.09,0.07,0.01,0.03,0.02,0.11,0.02,0.08,0.05,0.03,0.02,0.01,0.01,0.05,0.07,0.124856382725,0.00609305339141,20.4915950517
503,0.05,0.02,0.07,0.01,0.01,0.06,0.02,0.04,0.01,0.06,0.01,0.04,0.02,0.14,0.05,0.02,0.04,0.03,0.01,0.11,0.03,0.04,0.01,0.09,0.01,0.162821188033,0.00592071116492,27.5002754732
504,0.03,0.17,0.05,0.01,0.01,0.03,0.02,0.02,0.02,0.01,0.08,0.04,0.03,0.01,0.01,0.05,0.07,0.08,0.01,0.04,0.01,0.01,0.03,0.04,0.12,0.10759357968,0.00612821890422,17.5570718608
505,0.02,0.05,0.01,0.02,0.04,0.01,0.07,0.01,0.01,0.02,0.11,0.1,0.02,0.04,0.01,0.05,0.01,0.01,0.04,0.08,0.05,0.05,0.03,0.11,0.03,0.10656737493,0.00622564489415,17.1174836892
506,0.01,0.12,0.01,0.06,0.01,0.04,0.13,0.01,0.03,0.01,0.03,0.01,0.03,0.05,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.07,0.13,0.09,0.02,0.125688266506,0.00565518165722,22.2253278718
