Date,AAL,DAL,JBLU,LUV
2012-04-25,9.30589,9.930273,4.64,7.657015
2012-04-26,9.499763,9.85447,4.65,7.762563
2012-04-27,9.994137,10.252439,4.8,7.916086
2012-04-30,9.945667,10.385098,4.75,7.94487
2012-05-01,9.84873,10.470375,4.72,7.94487
2012-05-02,9.945667,10.299817,4.72,7.839324
2012-05-03,10.381881,10.385098,4.75,7.887299
2012-05-04,10.372188,10.422997,4.74,7.772155
2012-05-07,10.759933,10.584084,4.86,7.925684
2012-05-08,10.682384,10.584084,4.79,7.935276
2012-05-09,10.459431,10.337719,4.73,7.86811
2012-05-10,10.595142,10.451423,4.7,7.772155
2012-05-11,10.973194,10.77359,4.8,7.724181
2012-05-14,10.895645,10.830442,4.59,7.752967
2012-05-15,10.789015,10.584084,4.43,7.743372
2012-05-16,10.789015,10.792539,4.5,7.877703
2012-05-17,9.877812,9.863944,4.17,8.012037
2012-05-18,9.751796,9.608109,4.15,7.820133
2012-05-21,10.381881,10.025029,4.22,8.002443
2012-05-22,10.29464,9.987128,4.26,7.935276
2012-05-23,10.662998,10.176634,4.48,8.021635
2012-05-24,11.78746,10.678836,4.6,8.386255
2012-05-25,11.923171,10.77359,4.75,8.405443
2012-05-29,12.233365,11.181032,4.72,8.578157
2012-05-30,12.301223,11.133656,4.76,8.510991
2012-05-31,12.814982,11.465297,5.23,8.664515
2012-06-01,12.252753,10.906246,5.15,8.587755
2012-06-04,10.837483,9.64601,4.93,8.261151
2012-06-05,11.264001,10.025029,5.01,8.318785
2012-06-06,11.4191,10.053454,5.14,8.45327
2012-06-07,10.93442,9.740764,5.09,8.510906
2012-06-08,11.777763,9.835519,5.23,8.703024
2012-06-11,11.011967,9.636536,5.22,8.626177
2012-06-12,11.079823,9.513352,5.07,8.635782
2012-06-13,11.603281,9.750239,5.08,8.827905
2012-06-14,12.097653,9.901847,5.11,8.837509
2012-06-15,11.661442,9.721813,4.99,8.578147
2012-06-18,12.117042,10.072405,5.05,8.674209
2012-06-19,12.310916,10.337719,5.11,8.866328
2012-06-20,12.630805,10.621983,5.3,8.943177
2012-06-21,13.057326,10.640933,5.29,8.847117
2012-06-22,12.766517,10.460899,5.31,8.847117
2012-06-25,12.262447,9.968177,5.19,8.414846
2012-06-26,12.4854,10.555655,5.25,8.52051
2012-06-27,12.902227,10.489326,5.33,8.779874
2012-06-28,12.98947,10.574606,5.2,8.847117
2012-06-29,12.921616,10.375621,5.3,8.856721
2012-07-02,13.134875,10.536703,5.43,8.943177
2012-07-03,12.805292,10.195588,5.5,8.914356
2012-07-05,13.057326,10.072405,5.49,8.789478
2012-07-06,13.445071,10.422997,5.57,8.904753
2012-07-09,13.076712,10.337719,5.54,8.875933
2012-07-10,13.483844,10.157686,5.61,9.250566
2012-07-11,13.68741,10.508277,5.74,9.183326
2012-07-12,13.542007,10.186112,5.67,8.943177
2012-07-13,14.007298,10.252439,5.76,9.068051
2012-07-16,13.65833,10.394571,5.86,9.048839
2012-07-17,13.638944,10.233487,5.77,9.020025
2012-07-18,13.008857,9.693387,5.65,9.048839
2012-07-19,12.117042,9.475452,5.48,8.789478
2012-07-20,11.642054,9.4186,5.26,8.510906
2012-07-23,11.709908,9.153286,5.37,8.366814
2012-07-24,11.234921,8.840596,5.27,8.318785
