,Adj Close,Close,Date,Ticker
296,98.980003,98.980003,2017-10-03,AAP
297,154.479996,154.479996,2017-10-03,AAPL
298,89.699997,89.699997,2017-10-03,ABBV
299,82.879997,82.879997,2017-10-03,ABC
300,53.75,53.75,2017-10-03,ABT
301,134.25,134.25,2017-10-03,ACN
302,148.600006,148.600006,2017-10-03,ADBE
303,85.900002,85.900002,2017-10-03,ADI
304,42.720001,42.720001,2017-10-03,ADM
305,110.709999,110.709999,2017-10-03,ADP
306,225.75,225.75,2017-10-03,ADS
307,113.629997,113.629997,2017-10-03,ADSK
308,57.93,57.93,2017-10-03,AEE
309,70.290001,70.290001,2017-10-03,AEP
310,11.19,11.19,2017-10-03,AES
311,163.009995,163.009995,2017-10-03,AET
312,82.230003,82.230003,2017-10-03,AFL
313,209.800003,209.800003,2017-10-03,AGN
314,61.630001,61.630001,2017-10-03,AIG
315,43.880001,43.880001,2017-10-03,AIV
316,95.699997,95.699997,2017-10-03,AIZ
317,62.0,62.0,2017-10-03,AJG
318,50.5,50.5,2017-10-03,AKAM
319,137.419998,137.419998,2017-10-03,ALB
320,186.449997,186.449997,2017-10-03,ALGN
321,80.150002,80.150002,2017-10-03,ALK
322,92.099998,92.099998,2017-10-03,ALL
323,87.470001,87.470001,2017-10-03,ALLE
324,141.479996,141.479996,2017-10-03,ALXN
325,51.84,51.84,2017-10-03,AMAT
326,13.42,13.42,2017-10-03,AMD
327,66.290001,66.290001,2017-10-03,AME
328,192.869995,192.869995,2017-10-03,AMG
329,187.229996,187.229996,2017-10-03,AMGN
330,149.449997,149.449997,2017-10-03,AMP
331,136.660004,136.660004,2017-10-03,AMT
332,957.099976,957.099976,2017-10-03,AMZN
333,104.760002,104.760002,2017-10-03,ANDV
334,124.650002,124.650002,2017-10-03,ANSS
335,193.229996,193.229996,2017-10-03,ANTM
336,147.309998,147.309998,2017-10-03,AON
337,60.389999,60.389999,2017-10-03,AOS
338,45.439999,45.439999,2017-10-03,APA
339,49.27,49.27,2017-10-03,APC
340,152.240738,153.190002,2017-10-03,APD
341,85.0,85.0,2017-10-03,APH
342,118.919998,118.919998,2017-10-03,ARE
343,26.129999,26.129999,2017-10-03,ARNC
344,63.450001,63.450001,2017-10-03,ATVI
345,177.690002,177.690002,2017-10-03,AVB
346,239.5,239.5,2017-10-03,AVGO
347,99.260002,99.260002,2017-10-03,AVY
348,81.75,81.75,2017-10-03,AWK
349,91.078384,91.43,2017-10-03,AXP
350,169.660004,169.660004,2017-10-03,AYI
351,599.549988,599.549988,2017-10-03,AZO
352,255.460007,255.460007,2017-10-03,BA
353,25.860001,25.860001,2017-10-03,BAC
354,62.619999,62.619999,2017-10-03,BAX
355,46.880001,46.880001,2017-10-03,BBT
356,56.91,56.91,2017-10-03,BBY
357,319.679993,319.679993,2017-10-03,BCR
358,193.729996,193.729996,2017-10-03,BDX
