Date,AAL,DAL,JBLU
2015-08-28,38.619999,43.939999,22.299999
2015-08-31,38.98,43.779999,22.32
2015-09-01,39.200001,43.77,22.110001
2015-09-02,41.509998,45.990002,23.530001
2015-09-03,40.889999,45.060001,23.42
2015-09-04,40.599998,45.400002,23.719999
2015-09-08,40.799999,46.59,24.870001
2015-09-09,41.0,46.009998,24.879999
2015-09-10,41.209999,46.490002,25.379999
2015-09-11,42.150002,46.919998,25.68
2015-09-14,42.290001,46.889999,26.33
2015-09-15,42.639999,46.889999,26.370001
2015-09-16,43.060001,47.09,26.65
2015-09-17,43.990002,47.490002,27.02
2015-09-18,43.490002,46.669998,26.91
2015-09-21,43.23,47.25,26.84
2015-09-22,41.189999,46.459999,26.34
2015-09-23,41.240002,46.59,26.620001
2015-09-24,40.25,45.91,26.389999
2015-09-25,40.240002,46.040001,26.66
2015-09-28,39.080002,44.66,25.48
2015-09-29,39.18,44.040001,25.190001
2015-09-30,38.830002,44.869999,25.77
2015-10-01,39.200001,45.41,26.23
2015-10-02,38.630001,44.869999,26.219999
2015-10-05,40.189999,46.959999,26.49
2015-10-06,38.130001,45.09,25.5
2015-10-07,39.310001,45.990002,25.629999
2015-10-08,39.740002,45.959999,25.26
2015-10-09,42.419998,47.209999,26.1
2015-10-12,43.84,48.5,26.860001
2015-10-13,43.41,47.73,24.75
2015-10-14,43.799999,48.59,24.32
2015-10-15,44.459999,48.93,24.379999
2015-10-16,43.709999,49.119999,24.1
2015-10-19,44.450001,50.27,24.68
2015-10-20,44.790001,50.150002,24.57
2015-10-21,44.310001,49.439999,24.26
2015-10-22,45.990002,50.810001,24.620001
2015-10-23,45.669998,51.0,24.969999
2015-10-26,46.470001,51.32,26.209999
2015-10-27,46.459999,50.869999,25.360001
2015-10-28,45.860001,50.139999,24.639999
2015-10-29,45.860001,50.5,24.93
2015-10-30,46.220001,50.84,24.84
2015-11-02,46.470001,50.700001,25.719999
2015-11-03,46.5,51.0,25.41
2015-11-04,45.630001,50.66,25.030001
2015-11-05,45.599998,50.540001,25.74
2015-11-06,45.34,51.200001,26.09
2015-11-09,44.650002,50.630001,25.75
2015-11-10,44.490002,50.299999,26.34
2015-11-11,44.389999,49.98,26.360001
2015-11-12,43.900002,49.98,25.76
2015-11-13,43.450001,48.990002,25.200001
2015-11-16,42.830002,47.93,25.02
2015-11-17,42.299999,47.77,24.950001
