,prev_date,curr_date,ticker,prev_value,curr_value,change_pct
1220,2017-08-04,2017-08-07,w,80.360001,80.57,0.0026132279416
1221,2017-08-07,2017-08-08,a,60.744846,60.016346,-0.0119927870095
1222,2017-08-07,2017-08-08,b,59.948017,60.127205,0.00298905633526
1223,2017-08-07,2017-08-08,c,68.744408,68.585083,-0.00231764305833
1224,2017-08-07,2017-08-08,d,76.479286,76.518547,0.000513354687961
1225,2017-08-07,2017-08-08,f,10.786067,10.756435,-0.00274724790788
1226,2017-08-07,2017-08-08,g,29.351736,29.590773,0.00814387946253
1227,2017-08-07,2017-08-08,l,48.892849,48.813057,-0.00163197689707
1228,2017-08-07,2017-08-08,m,22.827787,22.78903,-0.00169779926543
1229,2017-08-07,2017-08-08,p,8.6,8.65,0.00581395348837
1230,2017-08-07,2017-08-08,s,8.62,8.4,-0.0255220417633
1231,2017-08-07,2017-08-08,w,80.57,75.519997,-0.0626784535187
1232,2017-08-08,2017-08-09,a,60.016346,59.557293,-0.00764879954538
1233,2017-08-08,2017-08-09,b,60.127205,60.167023,0.000662229351921
1234,2017-08-08,2017-08-09,c,68.585083,68.137016,-0.00653300951754
1235,2017-08-08,2017-08-09,d,76.518547,76.400764,-0.00153927387043
1236,2017-08-08,2017-08-09,f,10.756435,10.786067,0.00275481607057
1237,2017-08-08,2017-08-09,g,29.590773,29.381618,-0.0070682506334
1238,2017-08-08,2017-08-09,l,48.813057,48.74324,-0.00143029353806
1239,2017-08-08,2017-08-09,m,22.78903,22.314259,-0.0208333132213
1240,2017-08-08,2017-08-09,p,8.65,8.55,-0.0115606936416
1241,2017-08-08,2017-08-09,s,8.4,8.22,-0.0214285714286
1242,2017-08-08,2017-08-09,w,75.519997,72.82,-0.0357520803397
1243,2017-08-09,2017-08-10,a,59.557293,58.449577,-0.0185991663523
1244,2017-08-09,2017-08-10,b,60.167023,58.942577,-0.0203507825209
1245,2017-08-09,2017-08-10,c,68.137016,66.932198,-0.0176822830046
1246,2017-08-09,2017-08-10,d,76.400764,76.381134,-0.000256934603429
1247,2017-08-09,2017-08-10,f,10.786067,10.637907,-0.0137362395394
1248,2017-08-09,2017-08-10,g,29.381618,29.282019,-0.00338984054588
1249,2017-08-09,2017-08-10,l,48.74324,48.453999,-0.00593397156201
1250,2017-08-09,2017-08-10,m,22.314259,20.027603,-0.102475103475
1251,2017-08-09,2017-08-10,p,8.55,7.99,-0.0654970760234
1252,2017-08-09,2017-08-10,s,8.22,8.03,-0.0231143552311
1253,2017-08-09,2017-08-10,w,72.82,69.010002,-0.0523207635265
1254,2017-08-10,2017-08-11,a,58.449577,59.208015,0.0129759365068
1255,2017-08-10,2017-08-11,b,58.942577,58.41497,-0.00895120347385
1256,2017-08-10,2017-08-11,c,66.932198,66.514,-0.0062480840686
1257,2017-08-10,2017-08-11,d,76.381134,75.959084,-0.00552557913057
1258,2017-08-10,2017-08-11,f,10.637907,10.637907,0.0
1259,2017-08-10,2017-08-11,g,29.282019,29.202339,-0.00272112384054
1260,2017-08-10,2017-08-11,l,48.453999,48.144798,-0.00638133087839
1261,2017-08-10,2017-08-11,m,20.027603,19.979158,-0.00241891153924
1262,2017-08-10,2017-08-11,p,7.99,8.08,0.0112640801001
1263,2017-08-10,2017-08-11,s,8.03,8.31,0.0348692403487
1264,2017-08-10,2017-08-11,w,69.010002,69.690002,0.00985364411379
1265,2017-08-11,2017-08-14,a,59.208015,59.497417,0.00488788553374
1266,2017-08-11,2017-08-14,b,58.41497,59.74892,0.0228357559715
1267,2017-08-11,2017-08-14,c,66.514,67.599327,0.0163172715519
1268,2017-08-11,2017-08-14,d,75.959084,76.243721,0.00374724108047
1269,2017-08-11,2017-08-14,f,10.637907,10.77619,0.0129990796122
1270,2017-08-11,2017-08-14,g,29.202339,29.311897,0.00375168578106
1271,2017-08-11,2017-08-14,l,48.144798,48.314354,0.00352179273865
1272,2017-08-11,2017-08-14,m,19.979158,19.717548,-0.0130941454089
1273,2017-08-11,2017-08-14,p,8.08,8.07,-0.00123762376238
1274,2017-08-11,2017-08-14,s,8.31,8.41,0.0120336943442
1275,2017-08-11,2017-08-14,w,69.690002,70.809998,0.0160711144764
1276,2017-08-14,2017-08-15,a,59.497417,59.257912,-0.00402546887035
1277,2017-08-14,2017-08-15,b,59.74892,59.450275,-0.00499833302426
1278,2017-08-14,2017-08-15,c,67.599327,67.678986,0.00117839930566
1279,2017-08-14,2017-08-15,d,76.243721,76.459656,0.00283216764827
1280,2017-08-14,2017-08-15,f,10.77619,10.707048,-0.00641618234274
1281,2017-08-14,2017-08-15,g,29.311897,28.435429,-0.0299014424075
1282,2017-08-14,2017-08-15,l,48.314354,48.244537,-0.00144505709421
1283,2017-08-14,2017-08-15,m,19.717548,19.659414,-0.00294833820108
1284,2017-08-14,2017-08-15,p,8.07,8.4,0.0408921933086
1285,2017-08-14,2017-08-15,s,8.41,8.3,-0.013079667063
1286,2017-08-14,2017-08-15,w,70.809998,70.849998,0.000564891980367
1287,2017-08-15,2017-08-16,a,59.257912,62.012238,0.0464803079798
1288,2017-08-15,2017-08-16,b,59.450275,60.057522,0.0102143682262
1289,2017-08-15,2017-08-16,c,67.678986,67.420097,-0.0038252493913
1290,2017-08-15,2017-08-16,d,76.459656,76.793365,0.00436451087355
1291,2017-08-15,2017-08-16,f,10.707048,10.66754,-0.00368990593859
1292,2017-08-15,2017-08-16,g,28.435429,28.594788,0.00560424110359
1293,2017-08-15,2017-08-16,l,48.244537,48.184692,-0.0012404513282
1294,2017-08-15,2017-08-16,m,19.659414,19.514076,-0.00739279410872
1295,2017-08-15,2017-08-16,p,8.4,8.67,0.0321428571429
1296,2017-08-15,2017-08-16,s,8.3,8.3,0.0
1297,2017-08-15,2017-08-16,w,70.849998,70.68,-0.00239940726604
1298,2017-08-16,2017-08-17,a,62.012238,60.734867,-0.0205986921485
1299,2017-08-16,2017-08-17,b,60.057522,59.291,-0.0127631306533
1300,2017-08-16,2017-08-17,c,67.420097,66.31485,-0.0163934353283
1301,2017-08-16,2017-08-17,d,76.793365,76.675591,-0.00153364812181
1302,2017-08-16,2017-08-17,f,10.66754,10.509501,-0.0148149432765
1303,2017-08-16,2017-08-17,g,28.594788,28.42547,-0.00592128887264
1304,2017-08-16,2017-08-17,l,48.184692,47.306976,-0.0182156606916
1305,2017-08-16,2017-08-17,m,19.514076,19.010239,-0.0258191574123
1306,2017-08-16,2017-08-17,p,8.67,8.49,-0.0207612456747
1307,2017-08-16,2017-08-17,s,8.3,8.09,-0.0253012048193
1308,2017-08-16,2017-08-17,w,70.68,67.07,-0.0510752688172
1309,2017-08-17,2017-08-18,a,60.734867,61.124065,0.00640814772839
1310,2017-08-17,2017-08-18,b,59.291,59.699146,0.00688377662714
1311,2017-08-17,2017-08-18,c,66.31485,66.294937,-0.000300279650787
1312,2017-08-17,2017-08-18,d,76.675591,77.235046,0.00729638979894
1313,2017-08-17,2017-08-18,f,10.509501,10.430483,-0.00751872044163
1314,2017-08-17,2017-08-18,g,28.42547,28.375669,-0.0017519851035
1315,2017-08-17,2017-08-18,l,47.306976,47.456589,0.00316259910589
1316,2017-08-17,2017-08-18,m,19.010239,18.884277,-0.00662600822641
1317,2017-08-17,2017-08-18,p,8.49,8.27,-0.0259128386337
1318,2017-08-17,2017-08-18,s,8.09,8.07,-0.00247218788628
1319,2017-08-17,2017-08-18,w,67.07,66.870003,-0.00298191441777
1320,2017-08-18,2017-08-21,a,61.124065,61.61306,0.00800004057322
1321,2017-08-18,2017-08-21,b,59.699146,59.858425,0.00266802811551
1322,2017-08-18,2017-08-21,c,66.294937,65.667633,-0.00946232138361
1323,2017-08-18,2017-08-21,d,77.235046,77.284126,0.000635462818265
1324,2017-08-18,2017-08-21,f,10.430483,10.44036,0.000946936014372
1325,2017-08-18,2017-08-21,g,28.375669,28.305952,-0.0024569288569
1326,2017-08-18,2017-08-21,l,47.456589,47.277054,-0.00378314168344
1327,2017-08-18,2017-08-21,m,18.884277,18.923035,0.00205239522805
1328,2017-08-18,2017-08-21,p,8.27,8.1,-0.0205562273277
1329,2017-08-18,2017-08-21,s,8.07,8.08,0.00123915737299
1330,2017-08-18,2017-08-21,w,66.870003,66.0,-0.013010362808
1331,2017-08-21,2017-08-22,a,61.61306,62.830551,0.0197602748508
1332,2017-08-21,2017-08-22,b,59.858425,60.816319,0.0160026596089
1333,2017-08-21,2017-08-22,c,65.667633,66.563782,0.0136467382645
1334,2017-08-21,2017-08-22,d,77.284126,77.509872,0.00292098794001
1335,2017-08-21,2017-08-22,f,10.44036,10.519379,0.00756860874529
1336,2017-08-21,2017-08-22,g,28.305952,28.485229,0.00633354426659
1337,2017-08-21,2017-08-22,l,47.277054,47.646095,0.00780592208643
1338,2017-08-21,2017-08-22,m,18.923035,19.785374,0.0455708611224
1339,2017-08-21,2017-08-22,p,8.1,8.59,0.0604938271605
1340,2017-08-21,2017-08-22,s,8.08,8.22,0.0173267326733
1341,2017-08-21,2017-08-22,w,66.0,67.510002,0.0228788181818
1342,2017-08-22,2017-08-23,a,62.830551,62.640942,-0.00301778349835
1343,2017-08-22,2017-08-23,b,60.816319,60.197678,-0.0101722861589
1344,2017-08-22,2017-08-23,c,66.563782,66.942154,0.00568435249067
1345,2017-08-22,2017-08-23,d,77.509872,77.755249,0.00316575158323
1346,2017-08-22,2017-08-23,f,10.519379,10.578643,0.00563379264118
1347,2017-08-22,2017-08-23,g,28.485229,28.226273,-0.00909088706993
1348,2017-08-22,2017-08-23,l,47.646095,47.366825,-0.00586134078774
1349,2017-08-22,2017-08-23,m,19.785374,19.862888,0.00391774246977
1350,2017-08-22,2017-08-23,p,8.59,8.35,-0.0279394644936
1351,2017-08-22,2017-08-23,s,8.22,8.29,0.00851581508516
1352,2017-08-22,2017-08-23,w,67.510002,67.400002,-0.00162938819051
1353,2017-08-23,2017-08-24,a,62.640942,62.551125,-0.00143383859074
1354,2017-08-23,2017-08-24,b,60.197678,60.018074,-0.00298357023007
1355,2017-08-23,2017-08-24,c,66.942154,67.400185,0.00684219094593
1356,2017-08-23,2017-08-24,d,77.755249,77.980995,0.00290328952583
1357,2017-08-23,2017-08-24,f,10.578643,10.578643,0.0
1358,2017-08-23,2017-08-24,g,28.226273,28.226273,0.0
1359,2017-08-23,2017-08-24,l,47.366825,47.087547,-0.00589606755361
1360,2017-08-23,2017-08-24,m,19.862888,20.046982,0.00926823934163
1361,2017-08-23,2017-08-24,p,8.35,8.38,0.00359281437126
1362,2017-08-23,2017-08-24,s,8.29,8.42,0.015681544029
1363,2017-08-23,2017-08-24,w,67.400002,67.190002,-0.00311572691051
1364,2017-08-24,2017-08-25,a,62.551125,62.770676,0.0035099448651
1365,2017-08-24,2017-08-25,b,60.018074,60.437149,0.00698247997761
1366,2017-08-24,2017-08-25,c,67.400185,67.559494,0.00236362852713
1367,2017-08-24,2017-08-25,d,77.980995,78.59935,0.00792956027299
1368,2017-08-24,2017-08-25,f,10.578643,10.687293,0.0102706935096
1369,2017-08-24,2017-08-25,g,28.226273,28.276072,0.00176427826656
1370,2017-08-24,2017-08-25,l,47.087547,47.356846,0.00571911295358
1371,2017-08-24,2017-08-25,m,20.046982,20.45393,0.020299713942
1372,2017-08-24,2017-08-25,p,8.38,8.08,-0.035799522673
1373,2017-08-24,2017-08-25,s,8.42,8.43,0.00118764845606
1374,2017-08-24,2017-08-25,w,67.190002,69.199997,0.029915090641
1375,2017-08-25,2017-08-28,a,62.770676,63.329521,0.0089029629058
1376,2017-08-25,2017-08-28,b,60.437149,60.487038,0.000825469116685
1377,2017-08-25,2017-08-28,c,67.559494,67.519669,-0.00058948043631
1378,2017-08-25,2017-08-28,d,78.59935,78.658234,0.000749166500741
1379,2017-08-25,2017-08-28,f,10.687293,10.657661,-0.00277263849695
1380,2017-08-25,2017-08-28,g,28.276072,28.196392,-0.0028179302981
1381,2017-08-25,2017-08-28,l,47.356846,46.840504,-0.0109032176678
1382,2017-08-25,2017-08-28,m,20.45393,20.502375,0.00236849348756
1383,2017-08-25,2017-08-28,p,8.08,8.18,0.0123762376238
1384,2017-08-25,2017-08-28,s,8.43,8.29,-0.0166073546856
1385,2017-08-25,2017-08-28,w,69.199997,68.559998,-0.00924854086338
1386,2017-08-28,2017-08-29,a,63.329521,63.359463,0.000472796880936
1387,2017-08-28,2017-08-29,b,60.487038,60.886162,0.00659850462507
1388,2017-08-28,2017-08-29,c,67.519669,67.191086,-0.00486647824058
1389,2017-08-28,2017-08-29,d,78.658234,78.756386,0.00124782867614
1390,2017-08-28,2017-08-29,f,10.657661,10.707048,0.0046339436017
1391,2017-08-28,2017-08-29,g,28.196392,28.266111,0.00247262131978
1392,2017-08-28,2017-08-29,l,46.840504,46.560856,-0.00597021757067
1393,2017-08-28,2017-08-29,m,20.502375,20.289213,-0.0103969418177
1394,2017-08-28,2017-08-29,p,8.18,8.11,-0.00855745721271
1395,2017-08-28,2017-08-29,s,8.29,8.27,-0.00241254523522
1396,2017-08-28,2017-08-29,w,68.559998,68.290001,-0.00393811271698
1397,2017-08-29,2017-08-30,a,63.359463,63.76862,0.00645770940325
1398,2017-08-29,2017-08-30,b,60.886162,61.624538,0.0121271562494
1399,2017-08-29,2017-08-30,c,67.191086,67.718819,0.00785421149466
1400,2017-08-29,2017-08-30,d,78.756386,78.097481,-0.00836636917291
1401,2017-08-29,2017-08-30,f,10.707048,10.805821,0.00922504503576
1402,2017-08-29,2017-08-30,g,28.266111,28.146593,-0.00422831425236
1403,2017-08-29,2017-08-30,l,46.560856,46.560856,0.0
1404,2017-08-29,2017-08-30,m,20.289213,20.182631,-0.0052531362355
1405,2017-08-29,2017-08-30,p,8.11,8.08,-0.00369913686806
1406,2017-08-29,2017-08-30,s,8.27,8.25,-0.00241837968561
1407,2017-08-29,2017-08-30,w,68.290001,69.779999,0.0218186847003
1408,2017-08-30,2017-08-31,a,63.76862,64.586929,0.0128324715197
1409,2017-08-30,2017-08-31,b,61.624538,62.382874,0.0123057474281
1410,2017-08-30,2017-08-31,c,67.718819,67.738724,0.000293936017992
1411,2017-08-30,2017-08-31,d,78.097481,78.047935,-0.000634412267407
1412,2017-08-30,2017-08-31,f,10.805821,10.894718,0.00822676962722
1413,2017-08-30,2017-08-31,g,28.146593,28.335831,0.00672330040087
1414,2017-08-30,2017-08-31,l,46.560856,46.520908,-0.000857973916974
1415,2017-08-30,2017-08-31,m,20.182631,20.124496,-0.00288044705371
1416,2017-08-30,2017-08-31,p,8.08,8.45,0.0457920792079
1417,2017-08-30,2017-08-31,s,8.25,8.25,0.0
1418,2017-08-30,2017-08-31,w,69.779999,71.010002,0.017626870416
1419,2017-08-31,2017-09-01,a,64.586929,64.247627,-0.00525341590401
1420,2017-08-31,2017-09-01,b,62.382874,62.442741,0.000959670437755
1421,2017-08-31,2017-09-01,c,67.738724,68.286377,0.00808478470896
