Date,A,AAL,AAP,AAPL,MAR,MON,NOV
2016-04-01,39.801014,38.939571,159.993484,106.850548,65.63018,84.77121,29.277361
2016-04-04,39.504803,38.791767,158.806656,107.948303,64.877388,84.124832,29.336847
2016-04-05,38.764278,38.358238,160.043381,106.675682,64.369003,83.584579,28.781639
2016-04-06,39.731903,38.328674,159.45491,107.79287,64.662292,84.458298,28.970009
2016-04-07,38.971626,37.7966,155.41571,105.441956,64.065918,83.584579,28.325571
2016-04-08,39.040737,37.934547,155.694946,105.558517,65.082687,84.099106,28.860952
2016-04-11,38.912376,38.161175,154.358521,105.908234,65.620392,84.235016,27.086264
2016-04-12,39.248085,38.614414,156.083908,107.287712,65.83548,84.86602,27.591904
2016-04-13,40.176212,39.353401,160.063309,108.842041,66.118996,87.11824,28.960098
2016-04-14,40.265076,40.565331,160.512131,108.900322,66.324303,86.351318,28.563519
2016-04-15,40.39344,40.309151,160.761444,106.714546,66.402527,85.788284,27.443188
2016-04-18,40.788387,40.319004,160.512131,104.412193,66.031021,86.361031,28.018223
2016-04-19,40.877251,40.732845,160.362534,103.858475,66.294983,90.545105,28.970009
2016-04-20,40.995739,40.654011,157.968903,104.072182,66.343864,90.671326,28.45446
2016-04-21,41.400562,39.422375,156.712265,102.945305,66.705605,91.360573,28.30574
2016-04-22,41.272198,37.648811,157.978851,102.663574,65.053368,91.331459,29.019583
2016-04-25,41.104347,36.456581,156.971573,102.080704,65.483528,91.331459,29.069157
