,a,portfolioreturn,portfoliostandarddeviation,s,returnoverrisk
121,0.0475,0.00865886113411,0.00103430466518,0.0305,8.37167367177
122,0.039,0.00705584705674,0.000859864309723,0.0255,8.20576802288
123,0.021,0.00178031160385,0.000889112422506,0.031,2.00234701348
124,0.0245,0.00180423413942,0.00109665184025,0.0385,1.64522054603
125,0.0305,0.00311458099299,0.00117677205403,0.0405,2.64671563394
126,0.04,0.00783931576238,0.000764345225828,0.021,10.2562500523
127,0.0415,0.00869300917271,0.000689551357705,0.017,12.6067610129
128,0.022,0.00256378030949,0.000780549800487,0.0265,3.28458262098
129,0.0195,0.000985074493183,0.000971371320885,0.0345,1.01410703817
130,0.0435,0.00879853909249,0.000779844353576,0.0205,11.2824296953
131,0.0335,0.00417894851739,0.00112971271069,0.038,3.69912498803
132,0.034,0.00489219251834,0.00100854636398,0.033,4.85073635984
133,0.0315,0.0043657000959,0.000969567270644,0.032,4.50273047377
134,0.0265,0.00454029754388,0.000635395729583,0.0195,7.14562174798
135,0.0265,0.00114983216363,0.00136145672632,0.0485,0.844560198939
136,0.047,0.00800407343283,0.00113679580668,0.035,7.04090689441
137,0.0395,0.00449553827676,0.00142453896485,0.0485,3.15578470487
138,0.044,0.00898567639651,0.000772933142879,0.02,11.6254251474
139,0.0115,0.000387585915055,0.000615267723041,0.022,0.62994677039
140,0.0425,0.00783970148788,0.000907155757872,0.0265,8.64206771532
141,0.018,-0.00115465750965,0.00135185879992,0.0495,-0.8541258227
142,0.01,-0.00134295199017,0.000906703240435,0.0335,-1.4811373008
143,0.0455,0.0104823891031,0.000600102765687,0.0105,17.4676567123
144,0.037,0.0063072978407,0.000893658940379,0.0275,7.05783555192
145,0.03,0.00374583188421,0.00101093799135,0.034,3.70530330869
146,0.0425,0.00918419638005,0.000657001261796,0.015,13.9789630768
147,0.023,0.00293805491751,0.000760922479463,0.0255,3.86117508263
148,0.0255,0.00363991623892,0.000762563990224,0.025,4.77326006157
149,0.0135,-0.00196204875086,0.00125717719785,0.0465,-1.56067796505
150,0.017,-0.000593631323123,0.00116675366627,0.0425,-0.508788907448
151,0.0265,0.00559251093775,0.000432938327294,0.0105,12.9175695132
152,0.031,0.00295098049904,0.0012424731032,0.043,2.37508602114
153,0.011,0.0011357494056,0.000421720415225,0.0145,2.69313356573
154,0.0455,0.00720883632216,0.00121140007027,0.0385,5.95083036486
155,0.024,0.000681796040855,0.00131195691148,0.047,0.519678683719
156,0.0315,0.0052425445908,0.000786781767887,0.0245,6.66327666041
157,0.044,0.00805037560195,0.000952233788265,0.028,8.45420074478
158,0.049,0.00787577815398,0.00128133171869,0.0405,6.146556773
159,0.012,-0.000652859073784,0.000875341226121,0.032,-0.745833800924
160,0.0365,0.0049510345435,0.00114624850149,0.038,4.31933785482
161,0.0105,0.00129934989954,0.000356324915454,0.012,3.64653113827
162,0.0385,0.00733636015001,0.000775862809204,0.022,9.45574406065
163,0.031,0.0038862812936,0.00104130874322,0.035,3.73211241996
164,0.0285,0.00259985697559,0.00116678378148,0.0405,2.22822515779
165,0.0415,0.00851764027373,0.000721227203595,0.0185,11.8099265131
166,0.0115,-0.00183375347201,0.00110702827258,0.041,-1.65646489563
167,0.031,0.00540614508474,0.000724078384453,0.022,7.46624288312
168,0.019,-0.000371188804017,0.00123940899663,0.045,-0.299488550613
169,0.0425,0.00854117708379,0.000772165227599,0.0205,11.0613334796
170,0.0495,0.00782909025935,0.00132069180705,0.042,5.92802213017
171,0.037,0.00408595845364,0.00136125924428,0.0465,3.00160198786
172,0.0305,0.00212082389878,0.00139252932292,0.049,1.52300124951
173,0.045,0.0100614266004,0.000640110909582,0.013,15.7182551489
174,0.037,0.00735951123457,0.000686543453909,0.0185,10.7196583008
175,0.0305,0.00217928019844,0.00137978133301,0.0485,1.57943881853
176,0.0225,0.00199098571793,0.00093449032565,0.0325,2.13055787019
177,0.029,0.00553444036359,0.000582796625173,0.0165,9.49634936879
178,0.0325,0.00625983849507,0.00064202997569,0.018,9.75007200924
179,0.0185,0.0032997896695,0.000417316378733,0.0125,7.90716549281
180,0.0145,0.00215342903537,0.000416034956718,0.0135,5.17607715553
181,0.0375,0.00468228985527,0.00126367248918,0.0425,3.70530330869
182,0.0395,0.00519701387267,0.0012746190983,0.0425,4.07730739292
183,0.0475,0.00696362844399,0.00138189597674,0.045,5.03918425209
184,0.0465,0.0095706251186,0.000803238898496,0.0205,11.9150418842
185,0.0375,0.00526685285186,0.00113954574897,0.0375,4.62188802567
186,0.022,0.0013946543163,0.00103394215214,0.0365,1.34887074042
187,0.038,0.00738304804463,0.000738410748722,0.0205,9.99856523949
188,0.0155,0.00112475245157,0.000697440056485,0.0245,1.61268691281
189,0.04,0.00608562677259,0.00111733246578,0.036,5.44656756961
190,0.0465,0.00980445031724,0.00076124396723,0.0185,12.8795113516
191,0.032,0.00671572048731,0.000529443170062,0.013,12.6844973494
192,0.031,0.00412010649223,0.00099153123138,0.033,4.15529673886
193,0.029,0.00500833366666,0.000687282673454,0.021,7.28715252123
194,0.039,0.00600363366287,0.00107477309247,0.0345,5.58595456559
195,0.041,0.00774593997312,0.000839238364365,0.024,9.22972578712
196,0.0245,0.00151195264112,0.00116043362703,0.041,1.30292039622
197,0.013,-0.000453953364741,0.000892223391854,0.0325,-0.508788907448
198,0.0295,0.00595540286624,0.000530980179209,0.014,11.2158666169
199,0.03,0.00596717127127,0.000556656854521,0.015,10.7196583008
200,0.011,0.000434273809682,0.000574568528611,0.0205,0.755825959929
201,0.02,0.00286744448732,0.000595434026714,0.0195,4.81572157228
202,0.021,0.0030078938967,0.000625821157216,0.0205,4.80631544974
203,0.017,0.000341669471429,0.000960369609238,0.0345,0.355768725022
204,0.027,0.00221381396253,0.00115947785547,0.0405,1.90931974431
205,0.044,0.00939487049412,0.000699711168791,0.0165,13.426783669
206,0.0225,0.00310165541146,0.000696080048299,0.023,4.45588897288
207,0.01,-0.00321355357927,0.00132316359221,0.0495,-2.4286895424
208,0.018,-0.00103774491033,0.00132595846873,0.0485,-0.78263756732
209,0.0225,0.000821859724737,0.00118983307105,0.0425,0.690735318035
210,0.0395,0.00806137255598,0.000694859696341,0.018,11.6014392523
211,0.028,0.00510170945591,0.000610184083676,0.018,8.36093499059
212,0.034,0.00430762952174,0.00113242651491,0.038,3.80389320194
213,0.031,0.00528923248542,0.000747777091095,0.023,7.07327430649
214,0.026,0.00195645195383,0.0011546971467,0.0405,1.69434207006
215,0.0355,0.00527823553139,0.00101730147036,0.033,5.18846741618
216,0.0165,0.00144057075993,0.000689521587113,0.024,2.08923228344
217,0.0375,0.00631906624573,0.000920707431695,0.0285,6.8632727707
218,0.048,0.0107750563269,0.000676011183603,0.0135,15.9391687419
219,0.013,-0.00232455495384,0.00130738527916,0.0485,-1.77801830179
220,0.0405,0.00463598768614,0.0014548827719,0.0495,3.18650256617
221,0.0405,0.00580511367933,0.00120606160439,0.0395,4.81328122726
222,0.041,0.00681063917857,0.00102672649008,0.032,6.63335293713
223,0.014,-0.00142417364889,0.00116812309383,0.043,-1.21919826465
224,0.043,0.00650697500074,0.00120845605162,0.039,5.38453590599
225,0.0365,0.00641244203499,0.000843033934131,0.0255,7.60638661787
226,0.0295,0.0035586945802,0.00102074421217,0.0345,3.48637252875
227,0.0235,0.00388512411709,0.000592290096726,0.0185,6.55949531922
228,0.0255,0.00463367333314,0.000558192256435,0.0165,8.30121392714
229,0.0405,0.00703269597218,0.000952071893964,0.029,7.38672784772
230,0.0225,0.00356930580873,0.000598112596873,0.019,5.96761517378
231,0.03,0.00514878307604,0.000717523938237,0.022,7.17576487927
232,0.011,-0.00225471597465,0.00117028723231,0.0435,-1.92663468626
233,0.0155,0.00229387844475,0.000446416774417,0.0145,5.13842350066
234,0.04,0.00819005356034,0.000698766928167,0.018,11.7207229338
235,0.026,0.000962694859621,0.00137206661197,0.049,0.701638572956
236,0.0155,0.000306364256333,0.000876766038415,0.0315,0.349425323187
