Date,AAL,AAPL,AMZN,BAC,MSFT,PCLN,PEP
2016-12-09,49.323364,112.549728,768.659973,22.827707,60.92094,1557.97998,101.451836
2016-12-12,47.286442,111.907722,760.119995,22.353161,61.11755,1536.780029,102.578316
2016-12-13,47.534843,113.77449,774.340027,22.353161,61.913837,1540.109985,103.469696
2016-12-14,47.614334,113.77449,768.820007,22.412479,61.618916,1528.449951,102.33342
2016-12-15,47.991913,114.396751,761.0,22.896912,61.520611,1501.199951,103.146446
2016-12-16,47.326187,114.544907,757.77002,22.402592,61.24535,1484.280029,103.704796
2016-12-19,48.270126,115.206673,766.0,22.224638,62.543003,1488.829956,103.254211
2016-12-20,48.906044,115.512863,771.219971,22.452023,62.464359,1502.25,102.754639
2016-12-21,49.154449,115.621513,770.599976,22.372932,62.464359,1505.76001,102.558723
2016-12-22,48.379421,114.860977,766.340027,22.283955,62.474186,1481.339966,103.195435
2016-12-23,48.170761,115.088142,760.590027,22.343275,62.169441,1486.199951,102.940742
2016-12-27,48.299931,115.819054,771.400024,22.353161,62.208755,1493.420044,102.979919
2016-12-28,47.365929,115.325203,772.130005,22.076342,61.923668,1480.459961,102.480354
2016-12-29,46.948612,115.29557,765.150024,21.750088,61.835197,1480.160034,102.842796
2016-12-30,46.392178,114.396751,749.869995,21.848953,61.088055,1466.060059,102.490143
2017-01-03,46.004669,114.722694,753.669983,22.274069,61.520611,1477.569946,102.50975
2017-01-04,46.402119,114.594292,757.179993,22.689299,61.24535,1487.290039,102.705658
2017-01-05,45.597282,115.17704,780.450012,22.422365,61.24535,1503.699951,102.56852
2017-01-06,45.915241,116.461075,795.98999,22.422365,61.776207,1520.569946,102.421585
2017-01-09,46.779694,117.527794,796.919983,22.29384,61.579594,1529.640015,101.344086
2017-01-10,48.170761,117.646317,795.900024,22.679413,61.559933,1535.25,99.884552
2017-01-11,48.329742,118.278458,799.02002,22.807934,62.120285,1536.109985,99.727829
2017-01-12,47.793186,117.784599,813.640015,22.659639,61.550102,1538.589966,99.75721
2017-01-13,47.346062,117.577179,817.140015,22.748615,61.63858,1545.819946,99.473145
2017-01-17,46.451797,118.525383,809.719971,21.799522,61.471455,1540.130005,100.10006
2017-01-18,47.336124,118.515503,807.47998,22.372932,61.441967,1541.859985,100.638809
2017-01-19,46.958546,118.308083,809.039978,22.274069,61.24535,1539.02002,100.266579
2017-01-20,47.693825,118.525383,808.330017,22.382818,61.677898,1545.01001,101.128578
2017-01-23,46.640587,118.604401,817.880005,22.303726,61.894176,1554.98999,101.882835
2017-01-24,47.236763,118.495758,822.440002,22.689299,62.444698,1563.329956,102.56852
2017-01-25,47.604401,120.382278,836.52002,23.104528,62.601986,1578.819946,102.470558
2017-01-26,49.273685,120.441551,839.150024,23.173731,63.181995,1581.439941,102.010178
2017-01-27,46.65052,120.451416,835.77002,23.094641,64.666435,1602.920044,101.363686
2017-01-30,44.613598,120.135345,830.380005,22.689299,64.027435,1602.310059,101.569382
2017-01-31,43.967747,119.858795,823.47998,22.382818,63.555569,1575.130005,101.657532
2017-02-01,43.76902,127.167854,832.349976,22.62998,62.503681,1575.310059,100.90329
2017-02-02,43.729275,126.950554,839.950012,22.461908,62.10062,1574.089966,101.90242
2017-02-03,43.918064,127.493805,810.200012,23.025436,62.601986,1583.380005,102.960335
2017-02-06,45.011047,128.688934,807.640015,22.857368,62.562668,1587.180054,102.431381
2017-02-07,44.881878,129.913696,812.5,22.639866,62.35622,1598.699951,103.450111
2017-02-08,44.772583,130.417435,819.710022,22.412479,62.267746,1601.189941,103.528481
2017-02-09,46.106991,131.359818,821.359985,22.857368,62.975552,1611.829956,103.802742
2017-02-10,46.256367,131.062225,827.460022,22.817822,62.916569,1646.51001,103.930092
2017-02-13,47.212368,132.222839,836.530029,23.134186,63.624386,1646.180054,104.341492
2017-02-14,46.375866,133.939011,836.390015,23.786688,63.861748,1637.290039,104.733322
2017-02-15,47.341824,134.425079,842.700012,24.300781,63.822189,1648.959961,104.547218
2017-02-16,46.7742,134.266357,844.140015,24.300781,63.812298,1648.880005,105.908783
2017-02-17,46.714447,134.633408,845.070007,24.241465,63.911205,1637.400024,105.938171
2017-02-21,46.614868,135.60556,856.440002,24.49851,63.782627,1647.0,107.123421
2017-02-22,46.126911,136.012268,855.609985,24.508396,63.654053,1651.73999,107.172401
2017-02-23,45.907822,135.43692,852.190002,24.300781,63.911205,1637.26001,107.299736
2017-02-24,46.087074,135.565887,845.23999,23.954758,63.911205,1631.619995,107.583809
2017-02-27,46.126911,135.83371,848.640015,24.290895,63.525482,1632.01001,107.035263
2017-02-28,46.166744,135.89325,845.039978,24.399647,63.278221,1724.130005,108.122551
2017-03-01,46.8937,138.670807,853.080017,25.287176,64.227699,1733.180054,108.224144
2017-03-02,45.529411,137.847473,848.909973,25.01943,63.307896,1734.369995,108.598923
2017-03-03,46.624825,138.660889,849.880005,25.227676,63.545258,1735.099976,109.042747
2017-03-06,45.12112,138.224426,846.609985,25.039261,63.565041,1730.209961,108.125519
2017-03-07,44.65308,138.402985,846.02002,24.999596,63.693615,1736.459961,107.819771
2017-03-08,44.702869,137.887146,850.5,25.049179,64.277138,1743.48999,107.800049
2017-03-09,43.149376,137.569687,853.0,25.138428,64.020004,1749.420044,107.52388
2017-03-10,43.716999,138.026016,852.460022,25.098761,64.217804,1754.23999,108.08606
2017-03-13,42.193371,138.085541,854.590027,25.088844,64.000214,1767.119995,107.908539
2017-03-14,41.038212,137.877228,852.530029,25.108677,63.70351,1769.0,107.839493
2017-03-15,41.914543,139.335464,852.969971,24.969847,64.03978,1767.97998,109.585205
2017-03-16,41.954376,139.563614,853.419983,25.009512,63.930984,1773.97998,109.614799
2017-03-17,41.546089,138.869217,852.309998,24.652519,64.158463,1772.630005,109.861359
2017-03-20,41.526169,140.327454,856.969971,24.236023,64.217804,1765.439941,109.624657
2017-03-21,40.251503,138.720413,843.200012,22.827875,63.505699,1747.140015,110.236145
2017-03-22,40.181793,140.287766,848.059998,22.748543,64.316704,1751.98999,110.482712
2017-03-23,41.237377,139.791763,847.380005,22.877457,64.158463,1748.329956,110.24601
2017-03-24,41.556042,139.514008,845.609985,22.92704,64.267258,1753.109985,110.581345
2017-03-27,41.566002,139.752106,846.820007,22.837791,64.385933,1772.0,110.295326
2017-03-28,42.422417,142.648712,856.0,23.284035,64.573853,1788.449951,110.906807
2017-03-29,41.785084,142.966141,874.320007,23.155119,64.751884,1785.050049,110.887093
2017-03-30,42.362667,142.777664,876.340027,23.67078,64.98925,1789.199951,110.640526
2017-03-31,42.123665,142.509842,886.539978,23.393116,65.137604,1779.969971,110.324913
2017-04-03,42.273041,142.549515,891.51001,23.393116,64.831001,1773.98999,110.324913
2017-04-04,40.729504,143.610962,906.830017,23.24437,65.009033,1767.380005,110.541893
2017-04-05,41.137794,142.866959,909.280029,22.976622,64.840889,1761.77002,110.403816
2017-04-06,41.546089,142.509842,898.280029,23.065872,65.009033,1773.52002,110.048752
2017-04-07,41.635712,142.192398,894.880005,22.966705,64.959579,1769.560059,110.078339
2017-04-10,42.143585,142.023758,907.039978,22.827875,64.811218,1775.969971,110.482712
2017-04-11,43.746872,140.496094,902.359985,22.728708,64.761772,1768.400024,110.196701
2017-04-12,43.776745,140.664734,896.22998,22.460962,64.514511,1750.01001,112.050896
2017-04-13,43.169285,139.920731,884.669983,22.153549,64.237579,1738.77002,111.133659
2017-04-17,44.045624,140.694489,901.98999,22.619625,64.761772,1770.609985,111.76487
2017-04-18,43.627373,140.069519,903.780029,22.52046,64.67276,1763.310059,112.7117
2017-04-19,44.214912,139.553696,899.200012,22.550209,64.326599,1763.199951,112.06076
2017-04-20,45.031494,141.299591,902.059998,22.877457,64.781548,1760.800049,112.031166
2017-04-21,44.961788,141.130966,898.530029,22.52046,65.671677,1752.01001,111.873367
2017-04-24,46.246407,142.48999,907.409973,23.432783,66.789284,1798.619995,112.751152
2017-04-25,46.415699,143.372864,907.619995,23.779861,67.175003,1799.089966,112.593346
2017-04-26,46.206573,142.529663,909.289978,23.690613,67.085999,1804.119995,111.774734
2017-04-27,43.796665,142.638794,918.380005,23.452614,67.521164,1835.869995,111.094208
2017-04-28,42.442333,142.499893,924.98999,23.145205,67.709076,1846.819946,111.725426
2017-05-01,41.904587,145.406448,948.22998,23.412951,68.648666,1869.920044,110.739143
2017-05-02,43.687122,146.32901,946.940002,23.333618,68.539871,1880.52002,110.749008
2017-05-03,43.736912,145.882614,941.030029,23.571615,68.322281,1876.790039,110.255867
2017-05-04,43.726955,145.356857,937.530029,23.650948,68.055244,1910.410034,111.409813
2017-05-05,44.324451,147.76741,934.150024,23.541864,68.243156,1903.650024,111.666252
2017-05-08,44.752663,151.784973,949.039978,23.760027,68.183823,1903.910034,111.666252
2017-05-09,46.883739,152.757141,952.820007,23.779861,68.282722,1911.130005,111.173111
2017-05-10,47.102825,152.032974,948.950012,23.948442,68.549751,1824.77002,111.291466
2017-05-11,46.345993,153.347809,947.619995,23.86911,67.709076,1813.560059,111.488724
2017-05-12,45.737228,155.48941,961.349976,23.799696,67.629959,1818.180054,111.360504
2017-05-15,46.585506,155.090958,957.969971,23.859194,67.679413,1813.810059,112.376373
2017-05-16,46.844978,154.861862,966.070007,23.789778,69.04216,1829.800049,112.228424
2017-05-17,44.829067,149.662277,944.76001,22.38163,67.122383,1795.689941,112.179108
2017-05-18,44.559616,151.943314,958.48999,22.550209,67.351158,1796.030029,112.465134
2017-05-19,45.128464,152.461288,959.840027,22.857622,67.331268,1808.280029,112.129807
2017-05-22,46.116455,153.38765,970.669983,22.847708,68.087234,1828.420044,113.125938
2017-05-23,46.565548,153.198395,971.539978,23.194786,68.316025,1827.939941,113.471138
