Date,BAC,C,JPM,MS
2015-03-09,16.17,52.950001,61.5,35.669998
2015-03-10,15.79,51.23,59.959999,34.880001
2015-03-11,16.110001,52.330002,60.240002,34.950001
2015-03-12,16.09,54.080002,61.369999,37.09
2015-03-13,16.09,53.540001,61.0,36.349998
2015-03-16,16.129999,53.689999,61.849998,36.73
2015-03-17,16.09,53.84,61.610001,36.549999
2015-03-18,15.98,53.720001,61.75,36.73
2015-03-19,15.61,52.380001,61.200001,36.110001
2015-03-20,15.84,52.98,61.75,36.5
2015-03-23,15.72,52.48,61.139999,36.310001
2015-03-24,15.61,51.939999,60.459999,36.240002
2015-03-25,15.41,51.380001,59.610001,35.450001
2015-03-26,15.42,51.189999,59.540001,35.619999
2015-03-27,15.31,51.0,59.549999,35.830002
2015-03-30,15.52,51.639999,60.959999,36.310001
2015-03-31,15.39,51.52,60.580002,35.689999
2015-04-01,15.41,51.619999,59.950001,35.970001
2015-04-02,15.54,51.860001,60.52,36.060001
2015-04-06,15.51,51.619999,60.470001,35.91
2015-04-07,15.46,51.52,60.849998,35.939999
2015-04-08,15.61,51.889999,61.049999,36.259998
2015-04-09,15.71,52.130001,61.470001,36.639999
2015-04-10,15.72,52.43,61.700001,36.240002
2015-04-13,15.8,52.66,62.07,36.299999
2015-04-14,15.82,52.73,63.040001,36.84
2015-04-15,15.64,53.209999,64.209999,37.389999
2015-04-16,15.79,54.02,63.810001,37.360001
2015-04-17,15.56,53.07,62.84,36.75
2015-04-20,15.57,53.200001,63.240002,36.959999
2015-04-21,15.5,52.48,62.310001,36.75
2015-04-22,15.74,53.099998,62.939999,37.200001
2015-04-23,15.69,53.220001,62.799999,37.380001
2015-04-24,15.64,52.900002,62.599998,37.360001
2015-04-27,15.56,52.799999,62.34,37.049999
2015-04-28,15.65,53.02,62.759998,37.040001
2015-04-29,15.98,53.759998,63.599998,37.490002
2015-04-30,15.93,53.32,63.259998,37.310001
2015-05-01,16.110001,53.759998,63.610001,37.509998
2015-05-04,16.440001,54.169998,64.720001,37.91
2015-05-05,16.35,53.349998,64.400002,37.450001
2015-05-06,16.290001,52.82,63.919998,37.049999
2015-05-07,16.24,53.310001,64.5,37.540001
2015-05-08,16.450001,54.02,65.489998,37.889999
2015-05-11,16.49,53.970001,65.449997,38.25
2015-05-12,16.43,53.740002,65.360001,37.720001
2015-05-13,16.469999,54.200001,65.519997,37.779999
2015-05-14,16.52,54.599998,66.050003,38.139999
2015-05-15,16.35,54.240002,65.879997,37.849998
2015-05-18,16.51,54.669998,66.419998,38.330002
2015-05-19,16.77,55.330002,67.010002,38.689999
2015-05-20,16.74,54.889999,66.480003,38.330002
2015-05-21,16.73,54.84,66.650002,38.040001
2015-05-22,16.75,54.970001,66.470001,38.169998
2015-05-26,16.5,54.240002,65.730003,37.790001
2015-05-27,16.74,54.869999,66.470001,38.619999
2015-05-28,16.67,54.549999,66.199997,38.73
2015-05-29,16.5,54.080002,65.779999,38.200001
2015-06-01,16.549999,54.450001,66.080002,38.580002
2015-06-02,16.719999,54.720001,66.019997,38.52
2015-06-03,16.93,55.630001,66.699997,39.009998
2015-06-04,16.780001,55.330002,66.330002,38.700001
2015-06-05,17.190001,56.240002,67.419998,39.290001
2015-06-08,17.08,55.650002,66.889999,39.09
2015-06-09,17.309999,56.0,67.18,39.130001
2015-06-10,17.59,57.02,68.260002,39.889999
2015-06-11,17.49,57.209999,68.519997,39.869999
2015-06-12,17.49,57.110001,68.25,39.610001
2015-06-15,17.469999,56.650002,67.989998,39.529999
2015-06-16,17.549999,57.07,68.370003,39.740002
2015-06-17,17.370001,56.540001,68.139999,39.580002
2015-06-18,17.379999,56.759998,68.779999,39.790001
2015-06-19,17.17,56.23,68.080002,39.369999
2015-06-22,17.469999,56.950001,68.959999,39.849998
2015-06-23,17.67,57.389999,69.75,40.209999
2015-06-24,17.49,56.66,69.019997,39.639999
2015-06-25,17.370001,56.189999,68.650002,39.220001
2015-06-26,17.41,56.34,68.949997,39.5
2015-06-29,16.889999,54.880001,67.199997,38.310001
2015-06-30,17.02,55.240002,67.760002,38.790001
2015-07-01,17.219999,55.68,68.07,39.360001
2015-07-02,17.030001,55.369999,67.519997,39.0
2015-07-06,16.940001,55.080002,67.330002,38.849998
2015-07-07,16.690001,54.5,66.800003,38.619999
2015-07-08,16.25,52.799999,65.43,37.790001
2015-07-09,16.48,53.709999,66.110001,38.099998
2015-07-10,16.700001,54.560001,67.050003,38.639999
2015-07-13,17.02,55.540001,68.089996,39.32
2015-07-14,17.129999,55.91,69.040001,39.709999
2015-07-15,17.68,56.459999,69.190002,39.700001
2015-07-16,17.950001,58.59,69.559998,39.91
2015-07-17,18.1,58.75,69.209999,40.200001
2015-07-20,18.120001,58.849998,69.260002,40.040001
2015-07-21,18.08,59.099998,69.099998,40.080002
2015-07-22,18.450001,60.34,70.080002,40.540001
2015-07-23,18.18,59.869999,69.639999,39.939999
2015-07-24,17.9,58.700001,68.910004,39.599998
2015-07-27,17.67,57.959999,68.010002,39.25
2015-07-28,17.879999,58.369999,68.050003,39.25
2015-07-29,18.16,58.919998,68.940002,39.290001
2015-07-30,18.129999,58.880001,69.040001,39.299999
2015-07-31,17.879999,58.459999,68.529999,38.84
2015-08-03,17.77,58.439999,68.529999,38.759998
2015-08-04,17.799999,58.470001,68.459999,38.919998
2015-08-05,17.870001,58.740002,68.730003,39.0
2015-08-06,17.809999,58.099998,68.25,38.93
2015-08-07,17.75,57.91,68.050003,38.580002
2015-08-10,18.040001,58.740002,68.889999,39.080002
2015-08-11,17.790001,57.639999,68.230003,37.919998
2015-08-12,17.52,56.91,67.239998,37.57
2015-08-13,17.620001,57.330002,67.550003,37.75
2015-08-14,17.700001,57.59,67.889999,38.049999
2015-08-17,17.77,57.77,68.07,38.139999
2015-08-18,17.690001,57.549999,68.209999,37.82
2015-08-19,17.459999,57.0,67.599998,37.439999
2015-08-20,16.719999,55.330002,65.940002,36.169998
2015-08-21,16.1,53.599998,63.599998,34.209999
2015-08-24,15.29,50.34,60.25,32.259998
2015-08-25,15.26,49.880001,59.91,31.76
2015-08-26,16.059999,52.279999,62.91,33.299999
2015-08-27,16.440001,53.439999,64.480003,34.299999
2015-08-28,16.360001,53.279999,64.129997,34.049999
2015-08-31,16.34,53.48,64.099998,34.450001
2015-09-01,15.58,50.939999,61.450001,33.119999
2015-09-02,15.85,51.75,62.57,33.790001
2015-09-03,15.94,51.790001,62.68,33.799999
2015-09-04,15.65,50.59,61.5,33.189999
2015-09-08,16.16,51.650002,63.16,34.27
2015-09-09,15.9,50.880001,62.18,33.75
2015-09-10,16.040001,51.07,62.66,33.869999
2015-09-11,16.040001,51.099998,62.560001,33.990002
2015-09-14,15.96,50.98,62.380001,33.810001
2015-09-15,16.309999,52.0,63.580002,34.580002
2015-09-16,16.33,52.59,64.139999,34.619999
2015-09-17,15.86,51.650002,62.650002,34.049999
2015-09-18,15.56,50.290001,60.939999,33.029999
2015-09-21,15.7,50.709999,61.450001,33.34
2015-09-22,15.57,50.380001,60.91,32.439999
2015-09-23,15.72,50.119999,60.639999,32.32
2015-09-24,15.55,49.130001,60.220001,31.969999
2015-09-25,15.89,50.549999,61.470001,32.189999
2015-09-28,15.47,49.029999,59.98,31.09
2015-09-29,15.35,49.0,59.84,31.01
2015-09-30,15.58,49.610001,60.970001,31.5
2015-10-01,15.55,49.889999,61.419998,31.5
2015-10-02,15.38,49.880001,60.810001,31.43
2015-10-05,15.69,51.16,62.02,32.290001
2015-10-06,15.69,51.060001,62.049999,32.360001
2015-10-07,15.75,51.32,62.130001,32.93
2015-10-08,15.75,51.650002,62.130001,32.990002
2015-10-09,15.58,51.380001,61.93,32.720001
2015-10-12,15.52,51.279999,61.720001,32.799999
2015-10-13,15.52,51.209999,61.549999,32.610001
2015-10-14,15.64,50.720001,59.990002,32.540001
2015-10-15,16.190001,52.970001,61.889999,33.610001
2015-10-16,16.120001,52.689999,62.43,33.950001
2015-10-19,16.139999,52.860001,62.220001,32.32
2015-10-20,16.200001,52.84,62.52,32.25
2015-10-21,15.9,51.810001,62.060001,31.48
2015-10-22,16.16,52.509998,63.189999,32.349998
2015-10-23,16.52,53.639999,63.869999,32.619999
2015-10-26,16.51,53.110001,63.900002,32.549999
2015-10-27,16.4,52.610001,63.639999,32.23
2015-10-28,17.280001,54.73,65.5,33.439999
2015-10-29,17.09,53.66,65.209999,33.540001
2015-10-30,16.780001,53.169998,64.25,32.970001
2015-11-02,17.059999,53.830002,65.540001,33.48
2015-11-03,17.18,54.16,65.779999,33.290001
2015-11-04,17.01,53.830002,65.849998,33.400002
2015-11-05,17.309999,54.150002,66.440002,33.880001
2015-11-06,17.950001,55.869999,68.459999,35.41
2015-11-09,17.68,55.709999,67.389999,35.110001
2015-11-10,17.85,55.799999,67.68,35.240002
2015-11-11,17.75,54.900002,67.349998,35.02
2015-11-12,17.370001,53.459999,66.0,34.23
2015-11-13,17.200001,53.169998,65.559998,33.93
2015-11-16,17.43,53.689999,66.510002,34.049999
2015-11-17,17.42,53.490002,66.129997,33.59
2015-11-18,17.84,54.98,67.449997,34.25
2015-11-19,17.690001,55.060001,67.660004,34.169998
2015-11-20,17.65,54.75,67.540001,33.91
2015-11-23,17.469999,54.279999,66.879997,33.639999
2015-11-24,17.469999,54.18,66.779999,33.59
2015-11-25,17.440001,54.080002,66.860001,33.610001
2015-11-27,17.48,54.209999,67.169998,33.779999
2015-11-30,17.43,54.09,66.68,34.299999
2015-12-01,17.809999,54.880001,67.610001,35.27
2015-12-02,17.620001,54.139999,66.660004,34.889999
2015-12-03,17.299999,53.509998,65.800003,34.450001
2015-12-04,17.799999,55.09,67.889999,35.32
2015-12-07,17.540001,54.400002,67.0,34.68
2015-12-08,17.190001,53.389999,65.959999,34.060001
2015-12-09,17.1,52.810001,65.459999,33.369999
2015-12-10,17.200001,52.650002,65.610001,33.419998
2015-12-11,16.73,51.110001,64.07,32.080002
2015-12-14,16.799999,51.099998,64.269997,31.879999
2015-12-15,17.42,52.52,66.099998,32.84
2015-12-16,17.75,53.900002,67.529999,33.610001
2015-12-17,17.299999,52.84,66.279999,32.380001
2015-12-18,16.76,51.209999,64.400002,31.290001
2015-12-21,16.969999,51.790001,65.540001,31.68
2015-12-22,17.08,52.009998,65.68,32.220001
2015-12-23,17.34,52.630001,66.730003,32.599998
2015-12-24,17.27,52.709999,66.599998,32.48
