Date,AAL,AAPL,AMZN,BAC,CSCO,KO,MSFT,PCLN,PEP
2017-07-10,52.66,145.059998,996.469971,24.889999,30.98,44.380001,69.980003,1921.819946,114.269997
2017-07-11,51.610001,145.529999,994.130005,24.6,31.09,44.330002,69.989998,1929.150024,113.739998
2017-07-12,53.799999,145.740005,1006.51001,24.35,31.16,44.509998,71.150002,1946.180054,114.769997
2017-07-13,53.810001,147.770004,1000.630005,24.620001,31.27,44.43,71.769997,1940.699951,114.019997
2017-07-14,54.220001,149.039993,1001.809998,24.209999,31.42,44.68,72.779999,1950.869995,114.93
2017-07-17,53.869999,149.559998,1010.039978,24.02,31.5,44.73,73.349998,1945.459961,114.93
2017-07-18,53.150002,150.080002,1024.449951,23.9,31.51,44.669998,73.300003,1976.23999,115.010002
2017-07-19,52.610001,151.020004,1026.869995,24.059999,31.9,44.830002,73.860001,1992.099976,115.339996
2017-07-20,52.34,150.339996,1028.699951,23.940001,31.860001,44.82,74.220001,1999.219971,115.510002
2017-07-21,51.91,150.270004,1025.670044,23.799999,31.84,45.029999,73.790001,1994.890015,116.629997
2017-07-24,51.279999,152.089996,1038.949951,23.91,31.860001,44.84,73.599998,2002.01001,116.129997
2017-07-25,50.610001,152.740005,1039.869995,24.48,32.119999,45.240002,74.190002,2016.910034,116.449997
2017-07-26,51.009998,153.460007,1052.800049,24.209999,31.66,45.740002,74.050003,2033.209961,117.190002
2017-07-27,50.0,150.559998,1046.0,24.110001,31.57,46.119999,73.160004,2025.089966,117.339996
2017-07-28,50.490002,149.5,1020.039978,24.030001,31.52,46.009998,73.040001,2024.060059,116.610001
